Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales,2502,3394,3861,4004,5105,7130,6450,8823,13173,16043,20008,21685,22693
  └─ Sales Growth %,18.31%,35.64%,13.76%,3.69%,27.52%,39.65%,-9.53%,36.79%,49.30%,21.78%,24.72%,8.39%,
Expenses,2116,2752,3052,3165,4069,5667,5235,7129,10310,12326,15189,16616,17388
  └─ Material Cost %,54.99%,50.57%,45.01%,45.21%,43.96%,45.16%,42.85%,45.73%,47.53%,46.16%,44.51%,44.80%,
    └─ Raw material cost,1376,1745,1770,1883,2306,3363,2781,4134,6606,7489,8980,9707,
    └─ Change in inventory,0,-29,-32,-73,-62,-144,-17,-100,-345,-84,-75,9,
  └─ Manufacturing Cost %,8.35%,7.75%,8.05%,7.86%,7.57%,7.36%,8.24%,7.46%,7.22%,6.78%,6.55%,6.02%,
  └─ Employee Cost %,8.66%,9.54%,10.92%,11.57%,11.42%,11.38%,13.80%,11.51%,9.38%,9.02%,9.43%,10.15%,
  └─ Other Cost %,12.53%,13.21%,15.06%,14.42%,16.76%,15.59%,16.28%,16.10%,14.14%,14.87%,15.44%,15.65%,
Operating Profit,387,642,810,838,1036,1462,1215,1694,2863,3717,4818,5070,5305
OPM %,15%,19%,21%,21%,20%,21%,19%,19%,22%,23%,24%,23%,23%
Other Income,14,36,27,14,6,47,-30,51,-18,-5,45,352,368
  └─ Exceptional items,-0,27,-11,3,-19,2,-67,-17,-57,-84,-74,84,
  └─ Other income normal,15,9,38,11,25,45,37,68,38,79,119,268,
Interest,187,170,435,215,223,324,294,207,204,292,483,196,177
Depreciation,210,317,322,347,385,489,529,531,617,681,947,1216,1301
Profit before tax,4,191,79,291,434,696,363,1007,2024,2739,3433,4010,4195
Tax %,658%,41%,39%,26%,31%,32%,1%,26%,23%,23%,23%,24%,
Net Profit,-20,113,48,214,300,472,357,746,1550,2102,2634,3062,3209
  └─ Profit from Associates,1,1,0,0,0,0,0,0,0,0,0,0,
  └─ Minority share,0,0,-6,-4,-7,-3,-28,-52,-53,-46,-40,-26,
  └─ Exceptional items AT,-0,10,-5,2,-13,1,-59,-13,-44,-64,-57,104,
  └─ Profit excl Excep,-20,103,53,212,313,471,416,759,1594,2166,2691,2958,
  └─ Profit for PE,-20,103,47,208,306,468,383,706,1540,2119,2651,2934,
  └─ Profit for EPS,-20,113,42,210,293,469,329,694,1497,2056,2595,3036,
  └─ Profit Growth %,52%,622%,-55%,346%,47%,53%,-18%,84%,118%,38%,25%,11%,
EPS in Rs,-0.09,0.50,0.14,0.68,0.95,1.44,1.01,2.14,4.61,6.33,7.67,8.98,9.40
Dividend Payout %,0%,0%,0%,22%,16%,15%,22%,16%,15%,16%,13%,17%,
