Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,7645,3898,3944,3423,2617,4131,3832,1101,1219,407
  └─ Sales Growth %,,-49%,1%,-13%,-24%,58%,-7%,-71%,11%,-67%
Expenses,6721,3092,2992,2855,2393,3687,3265,879,1203,780
  └─ Material Cost %,26%,34%,37%,39%,43%,48%,43%,-0%,0%,42%
    └─ Raw material cost,1916,1336,1473,1383,1086,2041,1757,0,0,171
    └─ Change in inventory,77,-25,-11,-35,46,-58,-96,-2,2,-2
  └─ Manufacturing Cost %,32%,29%,26%,28%,29%,27%,29%,50%,64%,0%
  └─ Employee Cost %,8%,11%,7%,9%,11%,8%,7%,14%,15%,56%
  └─ Other Cost %,22%,6%,6%,7%,9%,7%,6%,16%,20%,94%
Operating Profit,924,805,951,568,224,444,567,221,16,-372
OPM %,12%,21%,24%,17%,9%,11%,15%,20%,1%,-91%
Other Income,62,138,5673,14,43,51,101,-21,-94,250
  └─ Exceptional items,-12,12,9,-21,-18,9,76,-69,-130,198
  └─ Other income normal,74,126,5664,35,61,41,24,48,35,52
Interest,551,212,102,87,71,52,34,30,46,64
Depreciation,313,199,193,229,231,231,196,59,64,68
Profit before tax,122,532,6330,267,-35,212,437,112,-188,-254
Tax %,14%,30%,4%,-35%,-4%,24%,40%,46%,-16%,-55%
Net Profit,105,372,6063,360,-34,162,265,60,-157,-115
  └─ Minority share,0,0,0,5,3,5,7,-10,-4,12
  └─ Exceptional items AT,-11,6,9,-3,0,1,81,0,-65,197
  └─ Profit excl Excep,116,365,6055,363,-34,161,183,60,-92,-311
  └─ Profit for PE,116,365,6055,368,-31,166,190,50,-96,-280
  └─ Profit for EPS,105,372,6063,365,-30,167,272,51,-161,-103
  └─ Profit Growth %,,215%,1558%,-94%,-108%,643%,15%,-74%,-290%,-192%
EPS in Rs,9.40,33.27,542.81,32.70,-2.73,14.91,24.34,4.52,-14.44,-9.24
Dividend Payout %,59%,20%,1%,9%,-37%,27%,21%,111%,-14%,-27%
