Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,351,423,399,436,439,313,450,478,494,571
  └─ Sales Growth %,,20.76%,-5.78%,9.22%,0.88%,,44.00%,6.09%,3.35%,15.63%
Expenses,304,359,317,351,384,272,394,425,441,496
  └─ Material Cost %,65%,64%,59%,58%,62%,61%,65%,65%,63%,61%
    └─ Raw material cost,229,271,241,249,276,207,292,318,311,345
    └─ Change in inventory,-2,1,-4,2,-2,-16,-1,-8,-1,1
  └─ Manufacturing Cost %,7%,5%,5%,7%,5%,0%,6%,6%,7%,0%
  └─ Employee Cost %,11%,11%,11%,11%,12%,15%,12%,13%,14%,14%
  └─ Other Cost %,4%,5%,4%,5%,9%,11%,5%,5%,5%,12%
Operating Profit,46,64,82,84,56,41,57,52,53,75
OPM %,13%,15%,21%,19%,13%,13%,13%,11%,11%,13%
Other Income,10,6,-7,10,9,21,13,34,21,9
  └─ Exceptional items,4.47,2.12,-0.06,-0.02,-0.35,0.00,-0.59,3.23,0.07,-0.67
  └─ Other income normal,5.49,4.02,-6.80,9.67,8.90,20.98,13.28,30.97,20.65,9.86
Interest,1,2,2,3,2,0,1,1,7,8
Depreciation,27,31,28,33,31,31,32,34,43,47
Profit before tax,28,38,45,58,31,30,36,52,24,29
Tax %,26%,33%,30%,25%,-39%,39%,32%,16%,49%,58%
Net Profit,21,25,31,43,44,18,25,44,13,12
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,2.33,3.35
  └─ Exceptional items AT,2.94,1.21,-0.04,-0.01,-0.20,0.00,-0.30,2.62,0.03,-0.18
  └─ Profit excl Excep,17.73,24.16,31.36,43.24,44.07,18.27,24.84,41.06,12.56,12.22
  └─ Profit for PE,17.73,24.16,31.36,43.24,44.07,18.27,24.84,41.07,14.89,15.57
  └─ Profit for EPS,20.67,25.37,31.32,43.23,43.87,18.27,24.54,43.69,14.92,15.39
  └─ Profit Growth %,,36.27%,29.80%,37.88%,1.92%,,35.96%,65.34%,-63.74%,4.57%
EPS in Rs,22.78,27.96,34.52,47.65,48.35,20.14,27.05,48.15,16.44,16.96
Dividend Payout %,44%,45%,23%,17%,0%,0%,18%,17%,0%,0%
