Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1080,1280,1198,2009,1905,1729,2322,2815,2056,1123,967,245,49
  └─ Sales Growth %,140%,19%,-6%,68%,-5%,-9%,34%,21%,-27%,-45%,-14%,-75%,
Expenses,731,915,886,1564,374,440,1449,1855,1699,675,673,406,251
  └─ Manufacturing Cost %,62%,65%,67%,73%,14%,19%,56%,59%,74%,46%,31%,85%,
  └─ Employee Cost %,4%,4%,5%,4%,4%,4%,4%,4%,5%,7%,6%,9%,
  └─ Other Cost %,2%,2%,2%,1%,2%,2%,3%,2%,3%,7%,33%,71%,
Operating Profit,349,365,312,445,1531,1289,873,960,358,448,295,-162,-202
OPM %,32%,29%,26%,22%,80%,75%,38%,34%,17%,40%,30%,-66%,-411%
Other Income,56,22,42,31,71,244,125,94,406,97,78,68,-2
  └─ Exceptional items,0.00,0.00,-1.27,-0.41,0.00,158.81,0.16,-30.90,226.26,-69.23,56.61,43.01,
  └─ Other income normal,56.49,22.04,43.29,31.86,71.24,85.68,124.90,124.53,179.68,166.04,21.16,24.54,
Interest,377,376,380,404,642,493,470,464,414,343,289,67,60
Depreciation,95,99,130,180,1012,868,419,494,392,253,256,63,4
Profit before tax,-66,-88,-156,-107,-52,172,109,95,-43,-51,-172,-224,-267
Tax %,-19%,5%,-15%,7%,-30%,37%,35%,41%,99%,50%,31%,0%,
Net Profit,-53,-93,-128,-115,-37,109,71,56,-86,-77,-225,-225,-273
  └─ Profit from Associates,0,0,4,0,0,0,0,0,0,0,0,0,
  └─ Minority share,5,0,-1,0,0,0,0,0,9,0,5,8,
  └─ Exceptional items AT,0,0,-1,-0,0,100,0,-18,181,-93,57,43,
  └─ Profit excl Excep,-53,-93,-127,-115,-37,9,71,74,-267,16,-282,-268,
  └─ Profit for PE,-48,-93,-128,-115,-37,9,71,74,-240,16,-276,-258,
  └─ Profit for EPS,-48,-93,-129,-115,-37,109,71,56,-77,-77,-221,-216,
  └─ Profit Growth %,37%,-95%,-38%,10%,68%,124%,723%,5%,-422%,107%,-1802%,7%,
EPS in Rs,-4.77,-9.29,-12.92,-10.34,-2.25,6.70,4.37,3.07,-4.21,-4.18,-12.02,-11.78,-14.57
Dividend Payout %,0%,0%,0%,0%,-9%,4%,7%,10%,0%,0%,0%,0%,
