Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,116,131,127,161,186,211,252,294,262
  └─ Sales Growth %,,13.07%,-3.15%,26.83%,15.53%,13.45%,19.90%,16.50%,-11.06%
Expenses,100,118,113,142,158,172,208,251,234
  └─ Material Cost %,55%,52%,52%,61%,59%,59%,63%,68%,68%
    └─ Raw material cost,79,73,75,97,119,122,165,211,206
    └─ Change in inventory,-16,-5,-9,0,-9,1,-6,-11,-27
  └─ Manufacturing Cost %,0%,1%,6%,2%,2%,3%,3%,3%,0%
  └─ Employee Cost %,13%,17%,17%,14%,14%,13%,9%,7%,10%
  └─ Other Cost %,19%,20%,15%,12%,9%,7%,7%,7%,12%
Operating Profit,15,13,14,18,28,39,44,43,27
OPM %,13%,10%,11%,11%,15%,18%,18%,15%,10%
Other Income,0,0,0,0,0,0,0,2,0
  └─ Other income normal,0.09,0.02,0.01,0.28,0.02,0.38,0.04,2.47,0.17
Interest,3,4,6,8,7,9,9,5,5
Depreciation,2,2,2,2,2,2,2,2,5
Profit before tax,10,7,5,9,18,28,33,38,18
Tax %,34%,34%,39%,27%,26%,27%,15%,28%,27%
Net Profit,6,5,3,6,14,20,28,27,13
  └─ Profit excl Excep,6,5,3,6,14,20,28,27,13
  └─ Profit for PE,6,5,3,6,14,20,28,27,13
  └─ Profit for EPS,6,5,3,6,14,20,28,27,13
  └─ Profit Growth %,,-23%,-39%,111%,117%,50%,38%,-3%,-53%
EPS in Rs,5.10,3.90,2.38,5.02,10.92,3.14,3.06,2.96,1.39
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
