Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales,395,487,392,443,528,446,350
  └─ Sales Growth %,,23.51%,-19.60%,13.19%,19.16%,-15.65%,-21.45%
Expenses,351,432,417,401,488,432,344
  └─ Material Cost %,57%,60%,79%,57%,60%,60%,56%
    └─ Raw material cost,206,304,293,252,323,269,196
    └─ Change in inventory,20,-13,17,1,-6,-2,1
  └─ Manufacturing Cost %,17%,16%,13%,19%,18%,20%,23%
  └─ Employee Cost %,10%,9%,10%,10%,10%,12%,14%
  └─ Other Cost %,5%,4%,4%,4%,4%,5%,5%
Operating Profit,43,55,-25,42,41,14,6
OPM %,11%,11%,-6%,10%,8%,3%,2%
Other Income,6,6,15,8,5,4,18
  └─ Exceptional items,1.28,5.15,12.60,5.34,0.70,1.84,17.45
  └─ Other income normal,4.25,0.97,1.98,2.59,3.83,2.07,0.98
Interest,26,24,31,24,25,24,23
Depreciation,23,21,21,19,17,12,10
Profit before tax,-1,16,-63,7,3,-19,-8
Tax %,-177%,9%,-30%,15%,45%,-29%,-34%
Net Profit,0,15,-44,6,2,-13,-5
  └─ Minority share,-0,0,0,0,0,0,0
  └─ Exceptional items AT,1,4,13,5,0,2,17
  └─ Profit excl Excep,-0,11,-57,2,1,-15,-23
  └─ Profit for PE,-0,11,-57,2,1,-15,-23
  └─ Profit for EPS,0,15,-44,6,2,-13,-5
  └─ Profit Growth %,,3843%,-627%,103%,-10%,-1121%,-52%
EPS in Rs,0.08,2.67,-8.01,1.12,0.34,-2.41,-1.00
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%
