Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1528,1475,1668,2059,2362,1861,1395,1264,3616,2184
  └─ Sales Growth %,,-3.47%,13.10%,23.41%,14.73%,-21.23%,-25.01%,-9.45%,186.19%,-39.62%
Expenses,1633,1394,1769,1914,2313,1753,1549,1582,3676,2140
  └─ Material Cost %,38%,38%,36%,23%,18%,39%,29%,35%,67%,84%
    └─ Raw material cost,605,545,605,508,445,741,438,423,2453,1837
    └─ Change in inventory,-18,12,-11,-40,-9,-19,-33,25,-25,2
  └─ Manufacturing Cost %,45%,39%,49%,56%,65%,41%,60%,66%,28%,0%
  └─ Employee Cost %,20%,15%,12%,11%,12%,12%,16%,18%,5%,7%
  └─ Other Cost %,4%,2%,9%,3%,2%,3%,5%,5%,1%,7%
Operating Profit,-105,81,-100,144,50,107,-154,-318,-60,44
OPM %,-7%,6%,-6%,7%,2%,6%,-11%,-25%,-2%,2%
Other Income,541,327,336,184,161,255,53,43,138,503
  └─ Exceptional items,0,0,0,1,0,0,1,-1,35,449
  └─ Other income normal,541,327,336,183,161,255,52,45,103,53
Interest,153,153,106,141,160,192,210,241,224,197
Depreciation,17,25,37,42,42,51,50,53,69,56
Profit before tax,266,231,93,146,9,119,-360,-569,-215,293
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit,266,231,93,146,9,119,-360,-569,-215,293
  └─ Exceptional items AT,0,0,0,1,0,0,1,-1,35,449
  └─ Profit excl Excep,266,231,93,145,9,119,-361,-568,-250,-156
  └─ Profit for PE,266,231,93,145,9,119,-361,-568,-250,-156
  └─ Profit for EPS,266,231,93,146,9,119,-360,-569,-215,293
  └─ Profit Growth %,,-13%,-60%,57%,-93%,1152%,-404%,-57%,56%,37%
EPS in Rs,4.76,3.03,1.03,1.58,0.10,1.27,-3.79,-5.92,-2.24,3.04
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
