Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,1152,1123,1060,1079,1082
  └─ Sales Growth %,,-2.51%,-5.60%,1.82%,0.28%
Interest,702,703,711,703,687
Expenses,216,126,140,151,226
  └─ Manufacturing Cost %,0.71%,0.79%,1.00%,1.38%,0.00%
  └─ Employee Cost %,4.22%,5.37%,6.07%,6.91%,8.35%
  └─ Other Cost %,13.81%,5.08%,6.12%,5.68%,12.54%
Financing Profit,234,294,209,225,169
Financing Margin %,20%,26%,20%,21%,16%
Other Income,5,6,10,-3,1
  └─ Exceptional items,1.66,4.23,6.37,-5.38,0.00
  └─ Other income normal,3.08,1.89,3.40,2.05,1.06
Depreciation,9,10,15,15,11
Profit before tax,230,290,204,207,159
Tax %,25%,26%,26%,22%,3%
Net Profit,174,213,151,160,155
  └─ Exceptional items AT,1,3,5,-4,0
  └─ Profit excl Excep,172,210,147,165,155
  └─ Profit for PE,172,210,147,165,155
  └─ Profit for EPS,174,213,151,160,155
  └─ Profit Growth %,,22%,-30%,12%,-6%
EPS in Rs,32.22,39.60,28.11,29.79,28.75
Dividend Payout %,14%,11%,16%,15%,16%
