Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,1051,1065,992,5901,7261,9345,12244,11535,17991,18117,17295,17370,16290
  └─ Sales Growth %,-10.44%,1.32%,-6.83%,494.93%,23.04%,28.70%,31.02%,-5.78%,55.96%,0.70%,-4.54%,0.44%,
Expenses,122,136,126,4260,5217,6805,9027,7961,14491,14437,13887,14720,13784
  └─ Material Cost %,0%,0%,0%,-0%,-0%,-0%,0%,-0%,-0%,-0%,0%,-0%,
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,-10.97,0.00,0.00,0.00,0.00,0.00,0.00,
    └─ Change in inventory,0.00,0.00,0.00,-0.12,-0.63,-1.07,0.08,-1.38,-7.24,-2.76,0.25,-3.89,
  └─ Manufacturing Cost %,6%,6%,6%,66%,66%,68%,69%,64%,78%,76%,77%,81%,
  └─ Employee Cost %,3%,3%,4%,3%,3%,2%,2%,2%,1%,1%,2%,2%,
  └─ Other Cost %,3%,3%,3%,3%,3%,3%,3%,3%,2%,2%,2%,3%,
Operating Profit,929,928,866,1642,2044,2540,3217,3574,3500,3680,3407,2650,2506
OPM %,88%,87%,87%,28%,28%,27%,26%,31%,19%,20%,20%,15%,15%
Other Income,57,42,94,118,122,135,108,130,148,136,248,350,419
  └─ Exceptional items,-0,-13,0,0,0,-18,0,0,-12,0,56,0,
  └─ Other income normal,57,55,94,118,122,153,108,130,160,136,192,350,
Interest,142,118,80,278,242,427,369,227,112,70,56,57,37
Depreciation,184,189,183,436,447,468,518,542,579,621,664,709,740
Profit before tax,660,664,697,1046,1477,1780,2438,2936,2957,3125,2935,2234,2149
Tax %,36%,38%,33%,31%,35%,33%,7%,25%,25%,25%,26%,27%,
Net Profit,417,488,465,718,958,1190,2279,2192,2231,2342,2184,1637,1585
  └─ Profit from Associates,-2,75,0,0,0,0,0,0,0,0,0,0,
  └─ Minority share,-2,-1,0,-164,-217,-192,-549,-586,-593,-701,-524,-526,
  └─ Exceptional items AT,-0,-8,0,0,0,-12,0,0,-9,0,42,0,
  └─ Profit excl Excep,417,496,465,718,958,1202,2279,2192,2240,2342,2142,1637,
  └─ Profit for PE,416,494,465,554,741,1008,1729,1607,1645,1642,1628,1111,
  └─ Profit for EPS,416,486,465,554,741,999,1729,1607,1638,1642,1660,1111,
  └─ Profit Growth %,-23%,19%,-6%,19%,34%,36%,71%,-7%,2%,-0%,-1%,-32%,
EPS in Rs,7.39,8.64,8.26,9.84,13.15,17.71,30.65,28.48,29.04,29.09,29.41,19.69,18.65
Dividend Payout %,14%,14%,18%,15%,13%,11%,7%,7%,7%,17%,17%,25%,
