Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,660,683,649,702,735,733,741,917,988,988,1158
  └─ Sales Growth %,,3.51%,-5.01%,8.18%,4.76%,-0.26%,1.08%,23.68%,7.80%,-0.08%,17.28%
Expenses,278,262,275,313,289,311,331,414,415,410,450
  └─ Manufacturing Cost %,30.16%,26.20%,28.18%,30.28%,26.30%,28.54%,29.39%,30.57%,28.18%,27.40%,0.00%
  └─ Employee Cost %,7.03%,7.31%,8.21%,8.56%,7.76%,9.21%,10.08%,8.22%,8.09%,8.87%,7.88%
  └─ Other Cost %,4.89%,4.92%,5.94%,5.77%,5.20%,4.69%,5.12%,6.40%,5.68%,5.23%,30.98%
Operating Profit,382,421,374,389,447,422,411,503,574,578,708
OPM %,58%,62%,58%,55%,61%,58%,55%,55%,58%,58%,61%
Other Income,61,66,59,76,78,48,30,35,31,98,114
  └─ Exceptional items,-6,-2,-0,-0,-0,0,-5,-38,-54,-0,19
  └─ Other income normal,67,68,60,76,78,47,35,72,84,98,94
Interest,0,0,0,0,7,6,5,8,9,6,7
Depreciation,97,107,104,113,131,133,129,116,116,117,126
Profit before tax,345,379,330,352,386,330,307,413,479,552,689
Tax %,34%,26%,33%,33%,17%,33%,36%,24%,29%,28%,25%
Net Profit,227,282,221,237,319,222,197,313,342,397,515
  └─ Exceptional items AT,-4,-2,-0,-0,-0,0,-3,-28,-38,-0,15
  └─ Profit excl Excep,232,284,221,237,319,222,201,341,380,397,501
  └─ Profit for PE,232,284,221,237,319,222,201,341,380,397,501
  └─ Profit for EPS,227,282,221,237,319,222,197,313,342,397,515
  └─ Profit Growth %,,23%,-22%,7%,35%,-31%,-10%,70%,11%,4%,26%
EPS in Rs,4.71,5.84,4.57,4.90,6.61,4.59,4.08,6.48,7.07,8.21,10.66
Dividend Payout %,40%,65%,74%,71%,85%,98%,98%,94%,103%,100%,47%
