Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,313,364,392,365,337,377,361,349,382,194,272,207,71
  └─ Sales Growth %,-10.16%,16.36%,7.66%,-6.81%,-7.80%,11.97%,-4.27%,-3.42%,9.59%,-49.25%,40.46%,-24.04%,
Expenses,271,299,316,306,283,315,292,308,340,191,266,259,94
  └─ Material Cost %,37%,40%,39%,38%,35%,30%,27%,33%,38%,38%,43%,57%,
    └─ Raw material cost,115,151,158,146,122,130,106,112,133,57,116,86,
    └─ Change in inventory,-0,-6,-5,-5,-3,-17,-10,4,11,17,0,32,
  └─ Manufacturing Cost %,31%,27%,26%,28%,29%,37%,37%,37%,36%,38%,39%,43%,
  └─ Employee Cost %,8%,7%,8%,9%,10%,9%,10%,11%,9%,12%,10%,16%,
  └─ Other Cost %,11%,8%,8%,9%,10%,8%,8%,8%,6%,10%,6%,8%,
Operating Profit,42,65,76,60,54,62,69,41,42,3,6,-52,-23
OPM %,14%,18%,19%,16%,16%,16%,19%,12%,11%,1%,2%,-25%,-32%
Other Income,0,0,0,2,2,7,6,2,2,1,1,-31,-39
  └─ Exceptional items,0.02,0.00,0.01,-0.01,0.34,0.03,0.06,0.13,-0.49,0.00,0.00,-32.74,
  └─ Other income normal,0.31,0.13,0.04,1.51,1.63,7.15,6.32,1.52,2.12,1.16,1.18,1.30,
Interest,29,27,25,19,23,40,51,54,57,55,72,80,79
Depreciation,14,14,16,10,10,19,23,23,24,23,23,22,21
Profit before tax,-1,24,34,33,24,10,1,-34,-37,-74,-88,-185,-163
Tax %,4%,0%,18%,36%,30%,-14%,50%,-29%,-29%,-17%,0%,0%,
Net Profit,-1,24,28,21,16,12,0,-25,-26,-62,-88,-185,-163
  └─ Profit from Associates,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,
  └─ Minority share,2,0,0,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,0,0,0,0,0,0,-0,0,-0,0,0,-33,
  └─ Profit excl Excep,-1,24,28,21,16,12,1,-25,-26,-62,-88,-153,
  └─ Profit for PE,1,24,28,21,16,12,1,-25,-26,-62,-88,-153,
  └─ Profit for EPS,1,24,28,21,16,12,0,-25,-26,-62,-88,-185,
  └─ Profit Growth %,-73%,1813%,18%,-26%,-22%,-26%,-96%,-4757%,-5%,-138%,-43%,-73%,
EPS in Rs,,6.59,7.77,5.74,4.54,3.31,0.14,-6.76,-7.29,-16.99,-24.28,-51.04,-44.98
Dividend Payout %,0%,27%,32%,31%,31%,42%,0%,0%,0%,0%,0%,0%,
