Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,4484,4006,6985,9895,1032,506,508,705,1334,2222,3503,3763,
  └─ Sales Growth %,28.23%,,74.36%,41.67%,-89.57%,-50.97%,0.44%,38.72%,89.22%,66.56%,57.65%,7.41%,14.55%
Expenses,4368,3931,6853,9768,453,317,288,547,870,1254,2174,2666,
  └─ Material Cost %,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,8.28%,6.33%,5.18%,3.30%,3.98%,0.00%
    └─ Raw material cost,-0,,-0,-0,-0,-0,-0,58,84,115,116,150,-0
  └─ Manufacturing Cost %,93.37%,,93.39%,94.50%,0.29%,0.47%,0.36%,1.97%,1.17%,0.86%,1.03%,0.00%,93.95%
  └─ Employee Cost %,1.81%,,1.93%,1.78%,21.56%,45.04%,39.02%,37.05%,32.49%,26.04%,20.02%,20.21%,1.89%
  └─ Other Cost %,2.22%,,2.79%,2.44%,22.02%,17.10%,17.18%,30.30%,25.18%,24.36%,37.70%,46.66%,2.29%
Operating Profit,117,75,132,127,579,189,221,158,465,968,1329,1097,
OPM %,3%,2%,2%,1%,56%,37%,43%,22%,35%,44%,38%,29%,
Other Income,1,7,10,57,-161,42,5,9,31,19,157,565,
  └─ Exceptional items,-0,,-0,23,505,68,-0,0,-0,4,20,201,7
  └─ Other income normal,1,,10,35,-666,-26,5,9,31,15,137,364,1
Interest,33,28,60,96,155,199,238,330,636,1022,1564,1767,
Depreciation,7,5,7,8,20,20,19,21,38,71,111,148,
Profit before tax,77,49,76,80,244,13,-32,-184,-179,-107,-188,-253,
Tax %,31%,37%,40%,48%,41%,94%,31%,3%,2%,-33%,-21%,11%,
Net Profit,53,31,46,42,142,1,-42,-190,-183,-71,-149,-281,
  └─ Profit from Associates,0,,0,0,-2,0,0,0,0,0,0,0,0
  └─ Minority share,-7,,-16,-10,-25,14,-5,13,33,-28,-39,143,-5
  └─ Exceptional items AT,-0,,-0,7,415,48,-0,0,-0,4,20,172,4
  └─ Profit excl Excep,53,,46,34,-274,-47,-42,-190,-183,-75,-168,-453,27
  └─ Profit for PE,46,,30,26,-225,-33,-47,-177,-150,-103,-207,-223,23
  └─ Profit for EPS,46,,30,32,116,14,-47,-177,-150,-99,-187,-138,26
  └─ Profit Growth %,89%,,31%,-13%,-959%,85%,-41%,-277%,15%,31%,-102%,-7%,-5%
EPS in Rs,1.10,0.63,0.72,0.77,2.79,0.35,-1.13,-4.25,-3.60,-2.39,-4.51,-2.84,
Dividend Payout %,0%,0%,7%,7%,2%,0%,0%,0%,0%,0%,0%,0%,
