Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,317,448,585,830,1166,1528
  └─ Sales Growth %,,41.38%,30.48%,41.93%,40.49%,31.12%
Interest,106,149,211,289,356,445
Expenses,99,138,185,243,319,418
  └─ Manufacturing Cost %,0.89%,0.95%,1.02%,0.99%,1.09%,0.00%
  └─ Employee Cost %,19.65%,22.67%,23.07%,21.68%,19.71%,19.48%
  └─ Other Cost %,10.66%,7.09%,7.61%,6.61%,6.59%,7.87%
Financing Profit,112,162,189,298,491,665
Financing Margin %,35%,36%,32%,36%,42%,44%
Other Income,6,12,21,32,10,0
  └─ Exceptional items,-0.15,-0.06,-0.13,-0.12,-0.14,0.00
  └─ Other income normal,5.87,11.75,21.62,31.67,10.28,0.19
Depreciation,5,7,8,10,12,12
Profit before tax,113,167,202,319,489,653
Tax %,23%,23%,23%,22%,23%,23%
Net Profit,87,128,155,248,378,503
  └─ Exceptional items AT,-0,-0,-0,-0,-0,0
  └─ Profit excl Excep,88,128,155,248,378,503
  └─ Profit for PE,88,128,155,248,378,503
  └─ Profit for EPS,87,128,155,248,378,503
  └─ Profit Growth %,,47%,21%,59%,53%,33%
EPS in Rs,20.33,29.39,35.41,23.13,35.02,46.26
Dividend Payout %,0%,0%,0%,0%,14%,22%
