Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,120,1283,986,871,884,999,830,1502,2269,3252
  └─ Sales Growth %,,966.35%,-23.14%,-11.62%,1.39%,13.08%,-16.98%,81.12%,51.00%,43.33%
Expenses,10,988,736,654,668,840,742,1292,1929,2790
  └─ Material Cost %,0%,69%,-1%,1%,0%,75%,75%,77%,78%,79%
    └─ Raw material cost,0,894,0,0,0,767,660,1125,1739,2559
    └─ Change in inventory,0,-8,-11,12,0,-21,-34,36,26,0
  └─ Manufacturing Cost %,6%,1%,67%,65%,66%,0%,0%,0%,0%,0%
  └─ Employee Cost %,1%,3%,4%,5%,4%,3%,5%,3%,3%,3%
  └─ Other Cost %,2%,4%,4%,4%,5%,6%,8%,5%,4%,4%
Operating Profit,110,295,250,217,216,159,87,210,339,462
OPM %,91%,23%,25%,25%,24%,16%,11%,14%,15%,14%
Other Income,19,42,73,48,67,175,165,134,205,175
  └─ Exceptional items,0,0,0,25,46,21,91,-3,45,25
  └─ Other income normal,19,42,73,23,21,154,74,136,160,150
Interest,21,25,13,7,9,7,11,17,11,19
Depreciation,37,42,42,42,41,7,8,8,8,17
Profit before tax,70,271,268,216,232,319,233,319,525,600
Tax %,20%,24%,28%,17%,22%,19%,20%,16%,20%,21%
Net Profit,56,206,193,179,182,264,187,268,423,474
  └─ Profit from Associates,0,0,0,0,0,4,0,0,0,0
  └─ Exceptional items AT,0,0,0,20,36,0,0,0,45,25
  └─ Profit excl Excep,56,206,193,159,146,264,187,268,378,449
  └─ Profit for PE,56,206,193,159,146,264,187,268,378,449
  └─ Profit for EPS,56,206,193,179,182,264,187,268,423,474
  └─ Profit Growth %,,269%,-6%,-18%,-8%,81%,-29%,44%,41%,19%
EPS in Rs,0.63,2.31,17.16,16.28,16.53,23.99,17.36,24.95,36.37,40.75
Dividend Payout %,0%,0%,0%,0%,61%,8%,35%,28%,25%,17%
