Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,74,61,85,89,96,80,91,97,103
  └─ Sales Growth %,,-17.43%,39.55%,5.21%,7.03%,-16.58%,14.29%,6.04%,7.03%
Expenses,55,41,66,63,78,63,74,79,89
  └─ Manufacturing Cost %,6%,14%,26%,28%,37%,19%,18%,16%,-0%
  └─ Employee Cost %,41%,41%,31%,32%,34%,45%,51%,52%,57%
  └─ Other Cost %,28%,13%,21%,10%,11%,15%,12%,14%,30%
Operating Profit,18,20,18,26,17,17,17,18,14
OPM %,25%,33%,22%,29%,18%,21%,19%,19%,14%
Other Income,3,4,4,5,4,5,6,8,6
  └─ Exceptional items,0.04,0.11,0.02,-0.00,-0.00,-0.00,-0.00,0.11,-0.00
  └─ Other income normal,2.50,4.22,4.36,4.94,3.92,5.06,6.34,8.07,5.78
Interest,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,3,3,4,4
Profit before tax,19,22,21,29,18,19,20,22,16
Tax %,25%,31%,19%,25%,23%,21%,23%,23%,35%
Net Profit,14,15,17,22,14,15,15,17,10
  └─ Minority share,0.28,0.41,-1.20,-1.59,0.69,-1.32,-0.84,-2.72,-0.79
  └─ Exceptional items AT,0.03,0.07,0.02,-0.00,-0.00,-0.00,-0.00,0.08,-0.00
  └─ Profit excl Excep,14.07,15.19,16.81,21.60,13.98,14.55,15.32,17.03,10.24
  └─ Profit for PE,14.35,15.60,15.61,20.01,14.67,13.23,14.48,14.32,9.45
  └─ Profit for EPS,14.38,15.67,15.63,20.01,14.67,13.23,14.48,14.39,9.45
  └─ Profit Growth %,,8.71%,0.07%,28.18%,-26.69%,-9.82%,9.45%,-1.09%,-34.02%
EPS in Rs,7.19,7.83,7.81,10.00,7.33,6.61,7.24,7.19,4.72
Dividend Payout %,18%,16%,16%,13%,17%,19%,18%,18%,25%
