Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2543,3444,3816,3831,4119
  └─ Sales Growth %,,35.42%,10.78%,0.40%,7.52%
Expenses,2291,2974,3249,3199,3464
  └─ Material Cost %,65%,64%,62%,58%,58%
    └─ Raw material cost,1649,2197,2350,2230,2358
    └─ Change in inventory,-6,0,-3,-7,11
  └─ Manufacturing Cost %,6%,5%,4%,4%,0%
  └─ Employee Cost %,13%,11%,12%,14%,15%
  └─ Other Cost %,7%,7%,7%,7%,12%
Operating Profit,253,470,567,632,655
OPM %,10%,14%,15%,16%,16%
Other Income,38,67,95,108,175
  └─ Exceptional items,19,6,6,11,-8
  └─ Other income normal,19,61,88,97,183
Interest,2,6,5,6,5
Depreciation,92,105,110,124,132
Profit before tax,196,427,546,609,693
Tax %,27%,26%,26%,24%,25%
Net Profit,142,318,406,461,517
  └─ Exceptional items AT,13,4,5,8,-6
  └─ Profit excl Excep,129,313,402,453,523
  └─ Profit for PE,129,313,402,453,523
  └─ Profit for EPS,142,318,406,461,517
  └─ Profit Growth %,,142%,28%,13%,16%
EPS in Rs,74.90,167.48,214.29,242.90,272.65
Dividend Payout %,16%,8%,8%,8%,1%
