Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales,67,69,71,87,86,101,136,131,134,158,177
  └─ Sales Growth %,,3.34%,3.37%,22.39%,-1.10%,17.34%,35.13%,-4.21%,2.78%,17.36%,12.06%
Expenses,53,53,60,182,76,88,118,113,112,134,145
  └─ Material Cost %,38.71%,38.93%,41.26%,42.47%,37.12%,42.84%,47.50%,43.59%,42.44%,39.81%,37.95%
    └─ Raw material cost,25,28,31,34,34,44,66,56,56,62,66
    └─ Change in inventory,0,-1,-1,3,-2,-1,-1,1,1,0,1
  └─ Manufacturing Cost %,3.08%,3.14%,3.33%,1.78%,2.25%,2.46%,2.71%,5.13%,2.55%,2.35%,2.00%
  └─ Employee Cost %,15.10%,13.12%,13.35%,12.54%,16.69%,16.42%,14.41%,16.24%,17.16%,16.58%,16.34%
  └─ Other Cost %,23.08%,22.20%,26.09%,152.41%,32.16%,25.45%,22.07%,21.71%,21.59%,26.31%,26.03%
Operating Profit,13,16,11,-95,10,13,18,17,22,24,31
OPM %,20%,23%,16%,-109%,12%,13%,13%,13%,16%,15%,18%
Other Income,1,-2,0,220,10,5,4,4,3,4,5
  └─ Exceptional items,-0.16,-3.33,0.02,105.28,2.07,0.01,0.02,0.31,-0.94,0.02,0.32
  └─ Other income normal,1.56,1.00,0.40,114.81,7.94,4.80,4.12,3.96,3.85,4.46,4.93
Interest,1,1,1,0,0,1,3,2,2,1,0
Depreciation,3,2,2,2,1,2,3,4,4,3,3
Profit before tax,11,11,9,123,19,15,16,15,19,24,33
Tax %,45%,46%,42%,25%,38%,34%,39%,35%,36%,38%,37%
Net Profit,6,6,5,92,11,10,10,10,12,15,21
  └─ Minority share,0.00,0.00,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-0.09,-1.87,0.02,78.62,1.24,0.01,0.01,0.19,-0.59,0.01,0.20
  └─ Profit excl Excep,6.01,7.78,5.01,13.77,10.23,10.20,9.62,9.93,13.03,14.89,20.38
  └─ Profit for PE,6.01,7.78,4.95,13.77,10.23,10.20,9.62,9.93,13.03,14.89,20.38
  └─ Profit for EPS,5.92,5.91,4.97,92.39,11.47,10.21,9.63,10.12,12.44,14.90,20.58
  └─ Profit Growth %,,29.45%,-36.37%,178.17%,-25.71%,-0.29%,-5.69%,3.22%,31.22%,14.27%,36.87%
EPS in Rs,,,,29.80,,,3.32,3.47,4.26,5.10,7.05
Dividend Payout %,22%,32%,45%,19%,40%,45%,45%,43%,38%,34%,27%
