Metric,Mar 2024,Mar 2025,Mar 2026
Sales,332,427,521
  └─ Sales Growth %,,28.34%,22.20%
Expenses,277,344,429
  └─ Material Cost %,74%,71%,73%
    └─ Raw material cost,250,311,384
    └─ Change in inventory,-4,-9,-6
  └─ Manufacturing Cost %,0%,0%,0%
  └─ Employee Cost %,6%,6%,5%
  └─ Other Cost %,3%,4%,4%
Operating Profit,55,83,92
OPM %,17%,19%,18%
Other Income,2,6,7
  └─ Exceptional items,0.08,0.01,0.00
  └─ Other income normal,2.08,6.23,7.28
Interest,4,6,2
Depreciation,3,5,7
Profit before tax,50,78,90
Tax %,25%,26%,24%
Net Profit,38,58,69
  └─ Exceptional items AT,0,0,0
  └─ Profit excl Excep,38,58,69
  └─ Profit for PE,38,58,69
  └─ Profit for EPS,38,58,69
  └─ Profit Growth %,,53%,20%
EPS in Rs,,29.25,35.03
Dividend Payout %,0%,0%,6%
