Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,711,713,813,859,872,1073,1074,1209
  └─ Sales Growth %,,0.29%,14.08%,5.69%,1.45%,23.02%,0.13%,12.52%
Expenses,526,515,567,596,613,878,855,971
  └─ Material Cost %,26.56%,16.75%,26.03%,22.20%,-26.19%,-6.99%,0.79%,43.05%
    └─ Raw material cost,293,377,170,320,0,0,0,506
    └─ Change in inventory,-104,-257,42,-129,-228,-75,8,15
  └─ Manufacturing Cost %,25.51%,30.94%,23.96%,26.83%,75.61%,72.18%,61.83%,0.00%
  └─ Employee Cost %,15.27%,17.33%,14.88%,14.26%,14.44%,12.48%,13.26%,11.99%
  └─ Other Cost %,6.71%,7.29%,4.89%,6.07%,6.47%,4.14%,3.73%,25.30%
Operating Profit,185,197,246,263,259,195,219,238
OPM %,26%,28%,30%,31%,30%,18%,20%,20%
Other Income,37,36,20,32,38,30,32,39
  └─ Exceptional items,0.14,0.11,0.01,0.00,0.00,0.00,0.06,0.00
  └─ Other income normal,36.75,36.33,19.95,31.62,38.17,30.45,31.63,38.69
Interest,7,7,13,23,27,35,30,25
Depreciation,23,26,27,33,53,59,63,66
Profit before tax,191,200,226,239,217,131,157,185
Tax %,32%,21%,26%,26%,28%,30%,29%,29%
Net Profit,131,158,166,177,156,92,111,131
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,130,158,166,177,156,92,111,131
  └─ Profit for PE,130,158,166,177,156,92,111,131
  └─ Profit for EPS,131,158,166,177,156,92,111,131
  └─ Profit Growth %,,21%,5%,6%,-12%,-41%,21%,19%
EPS in Rs,6.97,8.44,8.88,9.43,8.34,4.90,5.92,7.02
Dividend Payout %,31%,30%,31%,33%,40%,29%,25%,18%
