Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,654,403,684,1212,1537,1913,2326
  └─ Sales Growth %,,-38.41%,69.70%,77.28%,26.84%,24.43%,21.63%
Expenses,578,373,614,1025,1264,1564,1924
  └─ Material Cost %,59%,61%,63%,63%,58%,56%,56%
    └─ Raw material cost,400,244,439,769,938,1109,1333
    └─ Change in inventory,-12,2,-7,-5,-45,-29,-21
  └─ Manufacturing Cost %,7%,6%,5%,5%,5%,5%,0%
  └─ Employee Cost %,15%,18%,15%,12%,14%,14%,14%
  └─ Other Cost %,8%,8%,7%,5%,5%,6%,12%
Operating Profit,76,30,70,187,273,349,403
OPM %,12%,7%,10%,15%,18%,18%,17%
Other Income,1,6,3,5,10,22,19
  └─ Exceptional items,0.00,3.04,0.04,0.12,0.12,-0.30,0.00
  └─ Other income normal,0.63,2.93,2.58,4.50,10.01,22.60,18.58
Interest,4,9,10,12,17,15,11
Depreciation,25,35,38,41,51,69,88
Profit before tax,48,-8,24,139,214,287,322
Tax %,21%,-21%,29%,26%,26%,26%,26%
Net Profit,38,-6,17,103,160,214,240
  └─ Minority share,-2,-3,-3,-7,-7,-11,-9
  └─ Exceptional items AT,0,3,0,0,0,-0,0
  └─ Profit excl Excep,38,-9,17,103,160,214,240
  └─ Profit for PE,36,-12,14,96,153,203,230
  └─ Profit for EPS,36,-9,14,96,153,202,230
  └─ Profit Growth %,,-133%,219%,568%,60%,32%,14%
EPS in Rs,967.52,-242.15,385.50,2572.08,25.23,33.34,37.93
Dividend Payout %,0%,0%,39%,10%,10%,9%,10%
