Metric,Mar 2019,Mar 2020,Mar 2021
Sales,886,1537,1885
  └─ Sales Growth %,,73.43%,22.63%
Expenses,639,1065,1294
  └─ Material Cost %,39.74%,44.91%,48.03%
    └─ Raw material cost,654,695,976
    └─ Change in inventory,-302,-5,-71
  └─ Employee Cost %,11.99%,9.26%,7.91%
  └─ Other Cost %,20.32%,15.13%,12.70%
Operating Profit,248,472,591
OPM %,28%,31%,31%
Other Income,0,12,1
  └─ Other income normal,0.44,11.99,0.81
Interest,1,34,88
Depreciation,19,29,33
Profit before tax,228,421,471
Tax %,14%,26%,25%
Net Profit,196,313,352
  └─ Profit excl Excep,196,313,352
  └─ Profit for PE,196,313,352
  └─ Profit for EPS,196,313,352
  └─ Profit Growth %,,60%,12%
EPS in Rs,997.86,1597.37,358.74
Dividend Payout %,-0%,-0%,-0%
