Metric,Mar 2009,Mar 2012
Sales,13.29,19.63
Expenses,10.44,14.39
  └─ Material Cost %,12.87%,13.19%
    └─ Raw material cost,1.71,2.59
  └─ Manufacturing Cost %,26.26%,15.13%
  └─ Employee Cost %,15.50%,22.21%
  └─ Other Cost %,23.93%,22.77%
Operating Profit,2.85,5.24
OPM %,21.44%,26.69%
Other Income,3.03,2.76
  └─ Exceptional items,0.27,0.08
  └─ Other income normal,2.76,2.68
Interest,0.00,1.60
Depreciation,1.32,2.38
Profit before tax,4.56,4.02
Tax %,26.10%,37.81%
Net Profit,3.37,2.50
  └─ Minority share,0.00,0.29
  └─ Exceptional items AT,0.20,0.05
  └─ Profit excl Excep,3.17,2.45
  └─ Profit for PE,3.17,2.74
  └─ Profit for EPS,3.37,2.79
EPS in Rs,0.72,0.46
Dividend Payout %,0.00%,87.03%
