Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,858,642,835,1055,1060,609,685,808,1201,2442,4751
  └─ Sales Growth %,,-25%,30%,26%,0%,-43%,13%,18%,49%,103%,95%
Expenses,734,556,741,943,903,505,625,730,1065,1972,3838
  └─ Material Cost %,66%,64%,69%,68%,63%,58%,64%,64%,60%,57%,61%
    └─ Raw material cost,548,398,590,737,646,356,442,561,874,1677,3223
    └─ Change in inventory,16,11,-15,-19,18,-5,-7,-41,-157,-285,-326
  └─ Manufacturing Cost %,1%,1%,1%,1%,1%,1%,2%,2%,2%,1%,0%
  └─ Employee Cost %,8%,12%,10%,9%,10%,14%,16%,15%,14%,11%,9%
  └─ Other Cost %,11%,10%,8%,11%,11%,10%,10%,9%,14%,11%,11%
Operating Profit,124,87,94,113,157,103,60,79,136,470,913
OPM %,14%,13%,11%,11%,15%,17%,9%,10%,11%,19%,19%
Other Income,28,30,54,10,14,44,59,14,80,88,70
  └─ Exceptional items,11,-0,-1,-1,-2,-1,-0,-0,6,5,0
  └─ Other income normal,17,30,55,11,16,45,59,14,74,83,70
Interest,29,25,23,34,33,24,26,29,58,116,161
Depreciation,14,15,17,19,22,22,20,19,21,35,55
Profit before tax,109,77,108,70,117,101,73,45,137,407,768
Tax %,19%,16%,22%,29%,37%,31%,20%,34%,26%,26%,26%
Net Profit,89,65,85,48,73,69,57,29,87,311,592
  └─ Profit from Associates,0,0,-0,-2,-1,-1,-1,-1,-14,11,27
  └─ Exceptional items AT,9,-0,-1,-0,-1,-1,-0,-0,-0,-0,0
  └─ Profit excl Excep,80,65,86,48,74,70,58,29,87,312,592
  └─ Profit for PE,80,65,86,48,74,70,58,29,87,312,592
  └─ Profit for EPS,89,65,85,48,73,69,57,29,87,311,592
  └─ Profit Growth %,,-19%,32%,-43%,52%,-6%,-17%,-49%,199%,258%,90%
EPS in Rs,3.47,2.51,3.29,1.86,2.82,2.67,2.23,1.12,2.85,10.25,19.47
Dividend Payout %,6%,16%,11%,28%,3%,17%,10%,60%,19%,22%,0%
