Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Sales,166,184,167,156,181,197
  └─ Sales Growth %,,10.76%,-9.10%,-7.02%,16.31%,8.66%
Expenses,115,122,115,108,127,141
  └─ Material Cost %,8.05%,7.47%,7.28%,7.65%,7.72%,8.28%
    └─ Raw material cost,13.38,13.75,12.18,11.90,13.97,16.29
  └─ Manufacturing Cost %,22.46%,19.36%,20.37%,21.16%,20.86%,20.66%
  └─ Employee Cost %,14.45%,15.38%,18.48%,18.89%,17.63%,16.97%
  └─ Other Cost %,24.09%,23.89%,22.37%,21.77%,24.02%,25.69%
Operating Profit,51,62,53,48,54,56
OPM %,31%,34%,32%,31%,30%,28%
Other Income,1,-1,1,0,2,4
  └─ Exceptional items,-1.63,-2.23,-0.55,-1.01,-0.85,1.04
  └─ Other income normal,2.56,1.70,1.51,1.12,2.96,2.88
Interest,20,27,29,30,27,28
Depreciation,14,16,13,13,14,14
Profit before tax,18,20,11,5,15,18
Tax %,39%,50%,34%,49%,39%,33%
Net Profit,11,10,7,2,9,12
  └─ Exceptional items AT,-0.91,-0.87,-0.30,-0.20,-0.32,0.46
  └─ Profit excl Excep,11.97,10.72,7.74,2.69,9.64,11.58
  └─ Profit for PE,11.97,10.72,7.74,2.69,9.64,11.58
  └─ Profit for EPS,11.06,9.85,7.44,2.49,9.32,12.04
  └─ Profit Growth %,,-10.44%,-27.80%,-65.25%,258.36%,20.12%
EPS in Rs,1.81,1.61,1.22,0.41,1.53,1.97
Dividend Payout %,14%,50%,40%,118%,53%,49%
