Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,36.24,42.24,43.97,48.11,44.05,41.86,41.85,44.84,42.53,36.96,31.21,36.14,36.12
  └─ Sales Growth %,21.41%,16.56%,4.10%,9.42%,-8.44%,-4.97%,-0.02%,7.14%,-5.15%,-13.10%,-15.56%,15.80%,
Expenses,14.59,16.71,17.60,25.01,27.48,26.48,21.23,28.27,29.98,21.76,22.62,23.10,25.61
  └─ Manufacturing Cost %,11.70%,11.53%,11.80%,12.35%,9.92%,8.70%,9.68%,9.90%,12.89%,15.34%,18.52%,15.33%,
  └─ Employee Cost %,19.62%,18.87%,18.56%,19.37%,20.39%,22.69%,23.58%,23.62%,26.73%,28.17%,33.23%,26.73%,
  └─ Other Cost %,8.94%,9.16%,9.67%,20.27%,32.08%,31.87%,17.47%,29.53%,30.87%,15.37%,20.73%,21.86%,
Operating Profit,21.65,25.53,26.37,23.10,16.57,15.38,20.62,16.57,12.55,15.20,8.59,13.04,10.51
OPM %,59.74%,60.44%,59.97%,48.01%,37.62%,36.74%,49.27%,36.95%,29.51%,41.13%,27.52%,36.08%,29.10%
Other Income,0.19,0.19,0.49,1.69,0.80,0.41,0.22,0.72,1.24,2.63,0.73,37.99,29.90
  └─ Exceptional items,-0.02,-0.04,0.00,1.21,0.00,0.12,0.00,0.18,0.33,0.05,0.04,37.18,
  └─ Other income normal,0.21,0.23,0.49,0.48,0.80,0.29,0.22,0.54,0.91,2.58,0.69,0.81,
Interest,1.95,2.40,2.76,13.55,14.45,17.97,25.05,26.93,29.86,18.48,49.22,31.35,30.37
Depreciation,2.98,2.27,1.94,9.65,9.63,9.28,11.50,11.68,11.74,11.49,11.19,12.18,10.40
Profit before tax,16.91,21.05,22.16,1.59,-6.71,-11.46,-15.71,-21.32,-27.81,-12.14,-51.09,7.50,-0.36
Tax %,34.89%,31.07%,29.83%,462.26%,16.54%,12.91%,7.32%,10.18%,5.90%,14.00%,1.17%,14.67%,
Net Profit,11.00,14.51,15.54,-5.76,-7.81,-12.94,-16.85,-23.48,-29.46,-13.85,-51.68,8.00,-0.79
  └─ Minority share,0.00,0.00,0.00,-0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Exceptional items AT,-0.01,-0.03,0.00,-4.38,0.00,0.12,0.00,0.18,0.33,0.05,0.04,35.17,
  └─ Profit excl Excep,11.01,14.54,15.54,-1.38,-7.81,-13.06,-16.85,-23.66,-29.79,-13.90,-51.72,-27.17,
  └─ Profit for PE,11.01,14.54,15.54,-1.40,-7.80,-13.06,-16.85,-23.66,-29.79,-13.90,-51.72,-27.17,
  └─ Profit for EPS,11.00,14.51,15.54,-5.78,-7.80,-12.94,-16.85,-23.48,-29.46,-13.85,-51.68,8.00,
  └─ Profit Growth %,29.99%,32.06%,6.88%,-109.01%,-457.14%,-67.44%,-29.02%,-40.42%,-25.91%,53.34%,-272.09%,47.47%,
EPS in Rs,10.00,13.19,14.13,-5.29,-7.14,-11.84,-15.42,-21.49,-26.96,-12.68,-47.30,7.32,-0.72
Dividend Payout %,14.32%,12.66%,3.38%,-9.45%,-14.00%,-8.44%,-8.10%,-6.98%,-0.00%,-0.00%,-0.00%,-0.00%,
