Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,37.69,48.58,24.29,8.50,12.78
  └─ Sales Growth %,,29%,-50%,-65%,
Expenses,36.37,47.80,28.64,9.28,13.00
  └─ Material Cost %,85%,87%,93%,52%,
    └─ Raw material cost,26.06,42.02,22.60,4.36,
    └─ Change in inventory,6.08,0.05,0.07,0.02,
  └─ Manufacturing Cost %,4%,3%,5%,14%,
  └─ Employee Cost %,2%,4%,8%,4%,
  └─ Other Cost %,5%,5%,12%,39%,
Operating Profit,1.32,0.78,-4.35,-0.78,-0.22
OPM %,3.50%,1.61%,-17.91%,-9.18%,-1.72%
Other Income,2.06,2.43,6.74,2.01,1.10
  └─ Exceptional items,1.95,0.00,1.31,1.00,
  └─ Other income normal,0.11,2.43,5.43,1.01,
Interest,0.10,0.17,0.26,0.20,0.13
Depreciation,1.65,1.39,1.25,1.11,1.01
Profit before tax,1.63,1.65,0.88,-0.08,-0.26
Tax %,34.36%,33.94%,61.36%,-325.00%,
Net Profit,1.06,1.09,0.34,0.18,-0.69
  └─ Minority share,0,0,0,0,
  └─ Exceptional items AT,1,0,1,1,
  └─ Profit excl Excep,-0,1,-0,-1,
  └─ Profit for PE,-0,1,-0,-1,
  └─ Profit for EPS,1,1,0,0,
  └─ Profit Growth %,,430%,-124%,-215%,
EPS in Rs,0.17,0.13,0.04,0.02,-0.09
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,
