Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales,0,599,877,1021,1625,1783,1567
  └─ Sales Growth %,,,46.31%,16.45%,59.20%,9.71%,-12.09%
Expenses,0,522,738,814,1192,1364,1320
  └─ Material Cost %,,42.85%,44.71%,45.35%,41.29%,41.83%,44.07%
    └─ Raw material cost,0,299,399,438,672,751,717
    └─ Change in inventory,0,-42,-7,25,-1,-6,-26
  └─ Manufacturing Cost %,,15.16%,14.56%,12.27%,11.56%,13.42%,16.52%
  └─ Employee Cost %,,13.48%,11.30%,9.61%,7.91%,7.87%,9.01%
  └─ Other Cost %,,15.58%,13.67%,12.48%,12.58%,13.37%,14.63%
Operating Profit,-0,77,138,207,433,419,247
OPM %,,13%,16%,20%,27%,24%,16%
Other Income,0,13,-9,-0,6,23,21
  └─ Exceptional items,0.00,-0.09,-11.16,-3.69,-2.93,4.79,-0.20
  └─ Other income normal,0.00,12.70,2.23,3.45,8.96,18.13,21.52
Interest,0,25,48,37,17,19,12
Depreciation,0,53,69,69,73,72,73
Profit before tax,-0,12,12,101,349,351,183
Tax %,0%,-179%,-23%,32%,31%,27%,22%
Net Profit,-0,35,14,69,240,257,143
  └─ Exceptional items AT,0,-0,-9,-3,-2,4,-0
  └─ Profit excl Excep,-0,35,23,71,242,253,143
  └─ Profit for PE,-0,35,23,71,242,253,143
  └─ Profit for EPS,-0,35,14,69,240,257,143
  └─ Profit Growth %,,69340%,-33%,208%,240%,4%,-44%
EPS in Rs,,,1.18,5.61,19.61,20.92,11.64
Dividend Payout %,0%,0%,0%,0%,8%,7%,13%
