Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,238,359,615,783,814,771,776,843,917,983,1098,1217,
  └─ Sales Growth %,77.98%,,71.40%,27.44%,3.91%,-5.33%,0.64%,8.64%,8.86%,7.15%,11.69%,10.85%,168.33%
Expenses,205,309,533,665,696,658,668,738,824,878,970,1081,
  └─ Material Cost %,1.18%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,0.96%
    └─ Raw material cost,2.65,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,3.45
    └─ Change in inventory,0.15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,1.53%,,30.18%,32.77%,32.52%,32.51%,31.11%,29.91%,33.17%,33.62%,35.67%,0.00%,0.15%
  └─ Employee Cost %,53.80%,,49.39%,44.63%,47.30%,48.06%,49.72%,51.07%,50.53%,49.53%,47.05%,45.85%,52.90%
  └─ Other Cost %,29.81%,,7.09%,7.49%,5.69%,4.85%,5.27%,6.59%,6.11%,6.23%,5.65%,42.23%,32.22%
Operating Profit,33,49,82,118,118,112,108,105,93,104,128,135,
OPM %,14%,14%,13%,15%,14%,15%,14%,12%,10%,11%,12%,11%,
Other Income,2,1,4,3,5,4,5,1,-182,2,2,8,
  └─ Exceptional items,0.00,,0.00,0.26,0.34,0.00,0.02,0.01,-184.07,0.00,0.00,0.04,0.00
  └─ Other income normal,1.74,,3.72,2.48,4.69,3.94,4.68,1.20,2.22,1.84,2.07,8.41,0.98
Interest,6,9,10,16,19,16,13,12,11,18,20,21,
Depreciation,3,3,4,5,7,13,13,11,14,16,17,15,
Profit before tax,26,39,71,99,97,87,87,83,-114,72,92,107,
Tax %,14%,21%,25%,31%,21%,19%,18%,16%,11%,11%,14%,15%,
Net Profit,22,31,53,68,77,71,71,70,-127,64,80,92,
  └─ Exceptional items AT,0,,0,0,0,0,0,0,-197,0,0,0,0
  └─ Profit excl Excep,22,,53,68,77,71,71,70,70,64,80,92,31
  └─ Profit for PE,22,,53,68,77,71,71,70,70,64,80,92,31
  └─ Profit for EPS,22,,53,68,77,71,71,70,-127,64,80,92,31
  └─ Profit Growth %,248%,,71%,29%,12%,-8%,1%,-1%,-0%,-9%,25%,15%,388%
EPS in Rs,0.51,0.66,1.13,1.42,1.60,1.46,1.48,1.46,-2.63,1.31,1.63,1.72,
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,3%,-0%,-0%,-0%,-0%,-0%,
