Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,475,103,109,142,182,382
  └─ Sales Growth %,,-78%,6%,31%,28%,109%
Expenses,456,94,104,125,174,341
  └─ Material Cost %,91%,82%,78%,73%,86%,86%
    └─ Raw material cost,433,75,103,111,178,390
    └─ Change in inventory,-1,9,-19,-7,-21,-62
  └─ Manufacturing Cost %,1%,3%,3%,4%,2%,0%
  └─ Employee Cost %,0%,2%,2%,2%,2%,2%
  └─ Other Cost %,4%,4%,12%,9%,5%,2%
Operating Profit,20,9,5,18,8,40
OPM %,4%,8%,5%,12%,4%,10%
Other Income,0,3,1,2,-1,0
  └─ Exceptional items,0.00,0.00,0.00,0.01,-2.24,0.00
  └─ Other income normal,0.48,2.75,1.20,2.15,0.81,0.31
Interest,6,1,3,5,4,10
Depreciation,0,0,0,2,1,4
Profit before tax,13,10,3,14,2,27
Tax %,18%,-9%,36%,17%,38%,20%
Net Profit,11,11,2,11,1,21
  └─ Exceptional items AT,0,0,0,0,-1,0
  └─ Profit excl Excep,11,11,2,11,3,21
  └─ Profit for PE,11,11,2,11,3,21
  └─ Profit for EPS,11,11,2,11,1,21
  └─ Profit Growth %,,-4%,-82%,500%,-78%,739%
EPS in Rs,22180.00,21260.00,3820.00,7.65,0.57,10.47
Dividend Payout %,0%,0%,0%,0%,0%,0%
