Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,547,565,408,555,737,879,937,1081
  └─ Sales Growth %,,3.39%,-27.72%,35.85%,32.92%,19.14%,6.64%,15.40%
Expenses,481,503,373,487,643,746,785,893
  └─ Material Cost %,0%,-0%,0%,0%,0%,0%,0%,0%
    └─ Raw material cost,1.45,1.49,0.30,0.10,0.00,0.00,0.00,0.00
    └─ Change in inventory,-0.28,-3.84,0.46,0.13,0.00,0.00,0.01,0.00
  └─ Manufacturing Cost %,32%,33%,66%,65%,66%,64%,63%,0%
  └─ Employee Cost %,18%,18%,21%,19%,16%,16%,16%,15%
  └─ Other Cost %,38%,38%,5%,4%,5%,5%,5%,67%
Operating Profit,66,62,35,68,94,133,152,188
OPM %,12%,11%,9%,12%,13%,15%,16%,17%
Other Income,2,4,7,3,7,7,33,27
  └─ Exceptional items,-2.11,-0.14,2.99,-0.52,1.14,0.21,-0.06,-3.07
  └─ Other income normal,4.00,4.60,3.54,3.90,5.98,7.08,32.83,29.83
Interest,11,13,13,12,20,31,32,28
Depreciation,20,23,22,22,31,40,45,48
Profit before tax,37,31,8,37,51,68,108,139
Tax %,45%,36%,18%,16%,25%,28%,24%,25%
Net Profit,20,19,6,31,38,49,82,104
  └─ Minority share,0,0,0,0,1,0,0,-0
  └─ Exceptional items AT,-1,-0,0,-0,1,0,-0,-2
  └─ Profit excl Excep,22,20,6,32,37,49,82,106
  └─ Profit for PE,22,20,6,32,38,49,83,106
  └─ Profit for EPS,20,20,6,32,39,49,83,104
  └─ Profit Growth %,,-8%,-69%,423%,17%,30%,69%,28%
EPS in Rs,0.97,1.49,0.49,2.40,2.88,3.62,6.00,6.55
Dividend Payout %,0%,0%,0%,0%,16%,12%,7%,7%
