Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales,129,175,185,97,85,65,46,44,42
  └─ Sales Growth %,,35.94%,5.37%,-47.72%,-11.94%,-23.82%,-29.75%,-4.17%,-2.66%
Expenses,110,153,162,114,85,71,81,57,41
  └─ Material Cost %,72.57%,73.35%,70.14%,84.54%,77.67%,80.11%,84.08%,63.74%,47.04%
    └─ Raw material cost,100.18,129.45,132.97,69.51,66.73,55.01,34.19,27.00,23.22
    └─ Change in inventory,-6.55,-0.81,-3.34,12.17,-0.65,-3.09,4.09,0.81,-3.24
  └─ Manufacturing Cost %,3.55%,2.57%,3.31%,10.48%,8.19%,9.18%,12.48%,16.00%,18.15%
  └─ Employee Cost %,4.67%,6.36%,7.84%,11.41%,8.53%,10.97%,17.11%,21.43%,25.03%
  └─ Other Cost %,4.65%,4.91%,6.35%,11.86%,5.00%,8.70%,63.50%,28.81%,6.90%
Operating Profit,19,22,23,-18,1,-6,-35,-13,1
OPM %,15%,13%,12%,-18%,1%,-9%,-77%,-30%,3%
Other Income,1,3,2,43,2,1,31,1,-22
  └─ Exceptional items,-0.13,0.13,0.00,38.28,0.00,0.00,30.04,1.01,-22.56
  └─ Other income normal,1.35,3.04,1.85,4.90,1.98,1.14,1.29,0.39,0.26
Interest,8,12,13,13,13,11,7,2,0
Depreciation,6,8,9,6,5,4,4,3,3
Profit before tax,5,5,2,6,-15,-20,-15,-17,-24
Tax %,64%,27%,42%,-2%,-1%,-4%,15%,6%,0%
Net Profit,2,4,1,6,-15,-19,-17,-18,-24
  └─ Minority share,-0,-0,-0,-0,1,0,0,-1,-0
  └─ Exceptional items AT,-0,0,0,36,0,0,28,1,-23
  └─ Profit excl Excep,2,4,1,-30,-15,-19,-45,-19,-2
  └─ Profit for PE,2,4,1,-30,-14,-19,-44,-20,-2
  └─ Profit for EPS,2,4,1,6,-14,-19,-17,-19,-25
  └─ Profit Growth %,,104%,-64%,-2215%,53%,-36%,-132%,55%,89%
EPS in Rs,1.00,2.12,0.75,3.31,-7.52,-10.23,-7.08,-7.98,-104.54
Dividend Payout %,0%,28%,0%,0%,0%,0%,0%,0%,0%
