Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Revenue,34,48,87,201,409
  └─ Sales Growth %,,42%,82%,131%,104%
Interest,10,14,24,57,76
Expenses,8,12,31,66,110
  └─ Manufacturing Cost %,0.51%,0.67%,0.60%,0.59%,0.82%
  └─ Employee Cost %,14.67%,16.49%,22.05%,22.25%,18.74%
  └─ Other Cost %,7.68%,8.92%,13.28%,10.11%,7.30%
Financing Profit,16,21,32,77,223
Financing Margin %,46%,44%,37%,39%,54%
Other Income,0,0,0,-0,0
  └─ Exceptional items,0.00,0.00,0.02,-0.08,-0.01
  └─ Other income normal,0.01,0.06,0.17,0.02,0.02
Depreciation,0,1,1,3,4
Profit before tax,15,21,31,75,218
Tax %,35%,34%,37%,28%,28%
Net Profit,10,14,20,53,157
  └─ Exceptional items AT,0,0,0,-0,-0
  └─ Profit excl Excep,10,14,20,54,157
  └─ Profit for PE,10,14,20,54,157
  └─ Profit for EPS,10,14,20,53,157
  └─ Profit Growth %,,38%,43%,173%,193%
EPS in Rs,9.73,12.82,13.75,27.88,65.55
Dividend Payout %,19%,0%,0%,0%,0%
