Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,888,998,1080,1143,1604,2273,3195,3763,4476,5361
  └─ Sales Growth %,,12.43%,8.23%,5.82%,40.28%,41.75%,40.55%,17.78%,18.95%,19.78%
Expenses,377,410,550,524,787,1164,1572,1795,2214,2758
  └─ Manufacturing Cost %,15.66%,22.20%,31.34%,8.69%,8.48%,37.75%,37.77%,36.11%,38.95%,0.00%
  └─ Employee Cost %,6.84%,5.75%,5.56%,6.57%,6.97%,6.60%,7.22%,7.58%,5.40%,4.45%
  └─ Other Cost %,19.96%,13.15%,14.00%,30.58%,33.64%,6.83%,4.23%,4.02%,5.11%,46.98%
Operating Profit,511,588,530,619,816,1109,1623,1968,2262,2604
OPM %,58%,59%,49%,54%,51%,49%,51%,52%,51%,49%
Other Income,57,77,101,94,75,106,176,266,353,266
  └─ Exceptional items,7,7,11,13,4,1,-2,21,84,-80
  └─ Other income normal,50,69,91,82,70,104,178,245,269,346
Interest,90,130,177,277,228,420,596,332,266,383
Depreciation,82,157,171,202,271,370,391,436,547,614
Profit before tax,396,377,284,234,393,426,811,1465,1803,1873
Tax %,22%,26%,4%,16%,28%,22%,8%,21%,16%,17%
Net Profit,310,281,272,197,285,330,750,1161,1521,1547
  └─ Minority share,0,-13,-5,-6,7,-2,-10,-5,-18,-24
  └─ Exceptional items AT,6,5,9,11,3,1,-2,16,65,-66
  └─ Profit excl Excep,305,276,263,186,281,330,751,1144,1457,1613
  └─ Profit for PE,305,263,258,180,288,327,741,1140,1439,1588
  └─ Profit for EPS,310,268,267,190,291,328,740,1156,1503,1523
  └─ Profit Growth %,,-14%,-2%,-30%,60%,14%,127%,54%,26%,10%
EPS in Rs,54.60,44.09,43.93,31.37,48.00,54.02,3.97,5.50,7.16,7.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,10%,11%,12%
