Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1217,1286,1265,1266,1258
  └─ Sales Growth %,,5.62%,-1.59%,0.09%,-0.67%
Expenses,446,1599,-161,-419,-35
  └─ Manufacturing Cost %,0.34%,0.35%,0.42%,0.37%,0.00%
  └─ Employee Cost %,0.03%,0.11%,0.11%,0.12%,0.09%
  └─ Other Cost %,36.27%,123.88%,-13.27%,-33.60%,-2.84%
Operating Profit,771,-313,1427,1686,1293
OPM %,63%,-24%,113%,133%,103%
Other Income,26,30,31,39,39
  └─ Exceptional items,0.00,0.00,-6.43,0.00,0.00
  └─ Other income normal,26.07,29.51,37.38,38.56,38.62
Interest,0,41,47,56,74
Depreciation,270,315,315,317,317
Profit before tax,528,-640,1095,1352,940
Tax %,12%,-30%,10%,13%,3%
Net Profit,463,-446,982,1172,912
  └─ Minority share,44,251,-55,4,0
  └─ Exceptional items AT,0,0,-6,0,0
  └─ Profit excl Excep,463,-446,987,1172,912
  └─ Profit for PE,507,-195,932,1176,912
  └─ Profit for EPS,507,-195,927,1176,912
  └─ Profit Growth %,,-138%,578%,26%,-22%
EPS in Rs,5.57,-2.14,10.18,12.92,10.02
Dividend Payout %,189%,-700%,118%,93%,120%
