Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,579,626,748,810,803,1024,1672,1177,1032,897,1022
  └─ Sales Growth %,,8.08%,19.48%,8.35%,-0.89%,27.57%,63.20%,-29.60%,-12.30%,-13.10%,13.96%
Expenses,511,574,651,710,733,723,1143,1103,985,839,940
  └─ Material Cost %,68%,72%,66%,65%,70%,54%,55%,71%,69%,65%,67%
    └─ Raw material cost,386,461,483,550,547,547,903,871,723,652,609
    └─ Change in inventory,10,-11,14,-20,15,4,10,-32,-8,-73,77
  └─ Manufacturing Cost %,12%,11%,12%,14%,12%,9%,8%,12%,13%,14%,9%
  └─ Employee Cost %,4%,5%,5%,5%,5%,5%,4%,5%,8%,8%,7%
  └─ Other Cost %,4%,4%,4%,3%,4%,3%,2%,5%,6%,7%,9%
Operating Profit,68,52,97,100,70,302,529,74,47,58,82
OPM %,12%,8%,13%,12%,9%,29%,32%,6%,5%,7%,8%
Other Income,9,18,3,27,5,-8,11,28,21,21,116
  └─ Exceptional items,-1,-1,0,15,-8,-21,-7,-0,-8,-3,68
  └─ Other income normal,11,19,3,12,13,14,18,28,29,24,47
Interest,3,2,3,2,6,5,9,9,10,10,14
Depreciation,6,8,9,11,14,21,20,23,25,27,34
Profit before tax,69,60,88,113,54,268,511,70,33,42,150
Tax %,31%,37%,34%,33%,14%,25%,25%,28%,42%,30%,14%
Net Profit,48,38,58,77,47,201,381,51,19,29,130
  └─ Exceptional items AT,-1,-1,0,11,-6,-16,-5,-0,-5,-2,59
  └─ Profit excl Excep,49,38,58,66,52,217,386,51,24,31,71
  └─ Profit for PE,49,38,58,66,52,217,386,51,24,31,71
  └─ Profit for EPS,48,38,58,77,47,201,381,51,19,29,130
  └─ Profit Growth %,,-21%,50%,14%,-20%,313%,78%,-87%,-53%,33%,126%
EPS in Rs,2.79,2.20,3.37,4.45,2.71,11.70,22.16,2.95,1.12,1.70,7.56
Dividend Payout %,18%,23%,15%,17%,28%,13%,11%,25%,67%,29%,7%
