Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,63,89,107,121,93,186,407,170,248,179
  └─ Sales Growth %,,40.35%,20.70%,12.77%,-23.30%,100.56%,118.52%,-58.31%,46.31%,-27.67%
Expenses,4,5,5,6,5,6,6,12,14,14
  └─ Employee Cost %,4.42%,3.99%,3.65%,3.17%,3.67%,1.89%,0.76%,5.66%,4.12%,5.81%
  └─ Other Cost %,1.82%,1.39%,1.36%,1.40%,1.72%,1.20%,0.69%,1.46%,1.54%,2.01%
Operating Profit,59,84,102,115,88,180,401,157,234,165
OPM %,94%,95%,95%,95%,95%,97%,99%,93%,94%,92%
Other Income,-0,0,0,-0,-0,-0,-0,-0,-0,-2
  └─ Exceptional items,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-2.44
  └─ Other income normal,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,-0,-0,-0,-0,0,-0,-0,-0,-0,-0
Depreciation,0,0,0,0,0,0,-0,-0,-0,0
Profit before tax,59,84,102,115,88,180,401,157,234,163
Tax %,20%,19%,14%,10%,25%,25%,25%,25%,25%,25%
Net Profit,48,70,100,106,75,152,332,156,196,147
  └─ Profit from Associates,1,2,12,2,10,17,32,37,21,25
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,-2
  └─ Profit excl Excep,48,70,100,106,75,152,332,156,196,148
  └─ Profit for PE,48,70,100,106,75,152,332,156,196,148
  └─ Profit for EPS,48,70,100,106,75,152,332,156,196,147
  └─ Profit Growth %,,44%,44%,6%,-29%,102%,119%,-53%,26%,-24%
EPS in Rs,43.43,62.66,90.12,95.90,67.77,136.60,298.66,140.15,176.43,132.12
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
