Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,245,351,393,460,288,365,807,1281,1443,1229
  └─ Sales Growth %,,43.27%,12.16%,16.94%,-37.47%,26.98%,120.91%,58.76%,12.67%,-14.80%
Expenses,209,292,344,416,297,345,705,1131,1265,1144
  └─ Material Cost %,26%,48%,51%,53%,58%,57%,60%,65%,64%,66%
    └─ Raw material cost,64,166,216,247,164,216,503,848,942,804
    └─ Change in inventory,-2,3,-17,-4,1,-9,-18,-16,-17,8
  └─ Manufacturing Cost %,32%,6%,6%,7%,7%,8%,8%,5%,5%,0%
  └─ Employee Cost %,3%,2%,3%,4%,6%,6%,3%,3%,3%,4%
  └─ Other Cost %,25%,27%,27%,27%,33%,24%,16%,15%,15%,23%
Operating Profit,36,59,49,44,-10,20,102,149,178,86
OPM %,15%,17%,13%,10%,-3%,5%,13%,12%,12%,7%
Other Income,3,2,3,4,3,-0,1,6,3,-8
  └─ Exceptional items,0.85,0.43,0.34,0.07,0.00,-0.50,0.00,0.02,-1.87,-11.87
  └─ Other income normal,2.22,1.47,3.13,3.53,2.58,0.29,1.33,5.70,4.50,4.13
Interest,11,9,12,15,19,15,16,12,11,22
Depreciation,4,4,9,12,13,17,17,21,26,33
Profit before tax,24,47,32,21,-39,-13,70,122,144,23
Tax %,40%,47%,38%,28%,-2%,-22%,14%,29%,27%,54%
Net Profit,14,25,20,15,-38,-10,60,86,104,10
  └─ Minority share,0,0,0,0,0,0,0,0,0,-1
  └─ Exceptional items AT,1,0,0,0,0,-0,0,0,-1,-5
  └─ Profit excl Excep,14,25,20,15,-38,-9,60,86,106,16
  └─ Profit for PE,14,25,20,15,-38,-9,60,86,106,14
  └─ Profit for EPS,14,25,20,15,-38,-10,60,86,104,9
  └─ Profit Growth %,,83%,-22%,-23%,-354%,75%,746%,43%,22%,-86%
EPS in Rs,0.91,1.63,1.08,0.82,-2.08,-0.54,3.12,4.44,5.08,0.45
Dividend Payout %,29%,16%,25%,0%,0%,0%,3%,0%,0%,0%
