Metric,Mar 2024,Mar 2025,Mar 2026
Sales,221,284,335
  └─ Sales Growth %,,28.21%,18.00%
Expenses,141,182,222
  └─ Material Cost %,57%,55%,52%
    └─ Raw material cost,123,211,235
    └─ Change in inventory,3,-56,-60
  └─ Manufacturing Cost %,0%,1%,0%
  └─ Employee Cost %,3%,3%,5%
  └─ Other Cost %,4%,6%,9%
Operating Profit,81,101,113
OPM %,36%,36%,34%
Other Income,8,9,0
  └─ Exceptional items,0.00,0.00,-7.89
  └─ Other income normal,8.41,8.72,8.08
Interest,1,4,3
Depreciation,3,5,6
Profit before tax,85,101,104
Tax %,26%,24%,26%
Net Profit,63,76,77
  └─ Minority share,0,0,-0
  └─ Exceptional items AT,0,0,-6
  └─ Profit excl Excep,63,76,83
  └─ Profit for PE,63,77,83
  └─ Profit for EPS,63,77,77
  └─ Profit Growth %,,22%,8%
EPS in Rs,317.25,7.51,7.54
Dividend Payout %,0%,0%,3%
