Metric,Mar 2024,Mar 2025,Mar 2026
Sales,236,253,249
  └─ Sales Growth %,,7.19%,-1.42%
Expenses,205,227,236
  └─ Material Cost %,63%,63%,62%
    └─ Raw material cost,150,164,154
    └─ Change in inventory,-2,-5,-0
  └─ Manufacturing Cost %,4%,5%,0%
  └─ Employee Cost %,12%,14%,16%
  └─ Other Cost %,8%,9%,17%
Operating Profit,31,26,13
OPM %,13%,10%,5%
Other Income,4,5,3
  └─ Exceptional items,0.87,0.67,-0.81
  └─ Other income normal,2.72,3.90,3.60
Interest,2,2,3
Depreciation,4,5,6
Profit before tax,28,24,7
Tax %,27%,23%,5%
Net Profit,21,18,7
  └─ Exceptional items AT,1,1,-1
  └─ Profit excl Excep,20,18,8
  └─ Profit for PE,20,18,8
  └─ Profit for EPS,21,18,7
  └─ Profit Growth %,,-11%,-57%
EPS in Rs,2.24,1.99,0.76
Dividend Payout %,13%,20%,53%
