Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,1308,1473,1806,1800,1759,1772,1671,1471,1250
  └─ Sales Growth %,,12.63%,22.58%,-0.29%,-2.30%,0.74%,-5.68%,-12.01%,
Expenses,1154,1262,1376,1336,1321,1361,1273,1273,1193
  └─ Material Cost %,24.72%,23.39%,19.52%,15.23%,14.95%,12.87%,10.66%,7.91%,
    └─ Raw material cost,319,338,338,264,267,221,179,109,
    └─ Change in inventory,4,6,15,10,-4,7,-0,8,
  └─ Manufacturing Cost %,26.87%,27.00%,25.95%,23.98%,27.37%,29.06%,28.91%,31.02%,
  └─ Employee Cost %,17.01%,15.86%,15.31%,15.67%,15.84%,15.14%,14.54%,14.81%,
  └─ Other Cost %,19.65%,19.44%,15.44%,19.32%,16.97%,19.73%,22.05%,32.82%,
Operating Profit,154,211,429,465,437,411,398,197,57
OPM %,12%,14%,24%,26%,25%,23%,24%,13%,5%
Other Income,15,9,13,30,38,24,34,38,40
  └─ Exceptional items,-2.13,-5.50,-4.49,-3.09,0.59,-0.82,-2.61,1.18,
  └─ Other income normal,16.64,14.05,17.89,33.08,37.10,25.18,36.19,36.95,
Interest,78,83,137,130,133,250,144,148,147
Depreciation,100,113,227,245,260,252,231,213,193
Profit before tax,-10,24,79,120,82,-67,58,-125,-243
Tax %,109%,73%,16%,31%,34%,24%,36%,-36%,
Net Profit,-22,6,66,83,55,-82,37,-80,-170
  └─ Exceptional items AT,2,-0,-3,-2,0,-1,-2,1,
  └─ Profit excl Excep,-23,7,69,85,54,-82,39,-81,
  └─ Profit for PE,-23,7,69,85,54,-82,39,-81,
  └─ Profit for EPS,-22,6,66,83,55,-82,37,-80,
  └─ Profit Growth %,,129%,919%,23%,-36%,-250%,147%,-310%,
EPS in Rs,-1.79,0.52,5.50,6.89,4.55,-6.79,3.04,-6.60,-13.16
Dividend Payout %,0%,0%,0%,0%,22%,0%,0%,0%,
