Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,197,193,69,82,241,206,306,717,705,580,496
  └─ Sales Growth %,,-2.10%,-64.11%,18.66%,193.20%,-14.76%,48.91%,134.09%,-1.66%,-17.67%,-14.48%
Expenses,137,136,26,30,177,142,232,471,472,407,375
  └─ Material Cost %,64%,58%,-378%,-15%,6%,6%,-15%,4%,6%,-6%,63%
    └─ Raw material cost,0,0,0,0,0,0,0,0,0,0,314
    └─ Change in inventory,126,112,-262,-13,15,12,-46,29,39,-34,-0
  └─ Manufacturing Cost %,0%,6%,395%,33%,55%,54%,78%,56%,54%,68%,0%
  └─ Employee Cost %,2%,2%,8%,8%,5%,3%,4%,2%,2%,3%,5%
  └─ Other Cost %,4%,4%,13%,12%,7%,6%,9%,4%,5%,5%,8%
Operating Profit,60,57,43,52,64,64,74,246,233,173,121
OPM %,31%,29%,62%,63%,27%,31%,24%,34%,33%,30%,24%
Other Income,45,50,1,1,8,18,38,36,41,96,140
  └─ Exceptional items,-0,0,0,0,0,-0,0,-6,0,55,-2
  └─ Other income normal,45,50,1,1,8,18,38,42,41,41,142
Interest,0,0,5,21,41,44,75,123,91,59,13
Depreciation,0,0,1,2,6,5,3,3,3,3,2
Profit before tax,105,106,39,30,26,32,35,156,180,208,247
Tax %,21%,21%,27%,20%,21%,28%,33%,28%,26%,22%,24%
Net Profit,83,84,39,32,25,16,39,124,169,191,206
  └─ Profit from Associates,0,-0,11,8,4,-7,15,11,35,28,18
  └─ Minority share,0,0,0,-0,-1,-1,-0,-3,-2,-4,-3
  └─ Exceptional items AT,-0,0,0,0,0,-0,0,-5,0,43,-2
  └─ Profit excl Excep,83,84,39,32,25,16,39,128,169,147,208
  └─ Profit for PE,83,84,39,31,24,15,39,125,166,144,205
  └─ Profit for EPS,83,84,39,31,24,15,39,121,166,187,203
  └─ Profit Growth %,,1%,-54%,-19%,-24%,-37%,153%,226%,33%,-13%,42%
EPS in Rs,14.65,14.79,8.42,6.84,5.23,3.30,8.37,26.12,32.53,36.43,30.10
Dividend Payout %,3%,3%,12%,7%,0%,0%,6%,4%,3%,3%,3%
