Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,8578,9098,12204,16240,15968,17173,22728,30325,36502,40549
  └─ Sales Growth %,,6.06%,34.13%,33.07%,-1.68%,7.54%,32.35%,33.43%,20.37%,11.09%
Interest,6515,7126,8743,10228,8585,7465,10091,13870,17208,19333
Expenses,1432,1789,4702,9760,8733,12323,13338,17899,23571,27282
  └─ Manufacturing Cost %,0.36%,0.36%,0.81%,1.19%,0.81%,0.76%,0.67%,0.73%,0.65%,0.00%
  └─ Employee Cost %,7.18%,8.66%,10.49%,11.07%,14.43%,18.07%,18.84%,18.59%,17.83%,18.95%
  └─ Other Cost %,9.15%,10.64%,27.22%,47.85%,39.45%,52.94%,39.17%,39.70%,46.10%,48.33%
Financing Profit,631,184,-1241,-3748,-1350,-2615,-701,-1444,-4277,-6067
Financing Margin %,7%,2%,-10%,-23%,-8%,-15%,-3%,-5%,-12%,-15%
Other Income,1019,1120,824,1722,2211,3173,4467,5932,6977,7874
  └─ Exceptional items,-5,-1,-1,0,16,-5,1,9,11,0
  └─ Other income normal,1024,1121,825,1722,2196,3178,4467,5923,6966,7874
Depreciation,136,168,2820,320,343,382,435,631,836,0
Profit before tax,1514,1135,-3237,-2346,519,175,3331,3857,1864,1807
Tax %,30%,16%,-41%,21%,7%,24%,25%,24%,20%,11%
Net Profit,1019,880,-1908,-2843,483,132,2485,2942,1490,1611
  └─ Profit from Associates,-44,-76,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-4,-1,-1,0,15,-4,1,7,8,0
  └─ Profit excl Excep,1022,881,-1907,-2843,469,136,2484,2936,1482,1611
  └─ Profit for PE,1022,881,-1907,-2843,469,136,2484,2936,1482,1611
  └─ Profit for EPS,1019,880,-1908,-2843,483,132,2485,2942,1490,1611
  └─ Profit Growth %,,-14%,-316%,-49%,116%,-71%,1725%,18%,-50%,9%
EPS in Rs,3.00,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16,2.04,1.87
Dividend Payout %,25%,29%,0%,0%,0%,0%,0%,0%,12%,13%
