Metric,Dec 201415m,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2014,Mar 2016
Sales,1399,1485,1191,1344,1165,1161,1469,1478,1482,1355,1446,1571,,
  └─ Sales Growth %,,,-19.80%,12.90%,-13.34%,-0.34%,26.53%,0.63%,0.24%,-8.55%,6.74%,8.60%,4.27%,6.12%
Expenses,1452,1379,1022,1301,1050,1109,1372,1373,1405,1265,1324,1466,,
  └─ Material Cost %,,,61%,72%,60%,81%,81%,81%,82%,79%,78%,79%,76%,66%
    └─ Raw material cost,,,778,975,1019,997,1152,1087,1199,1256,1129,1228,1115,1107
    └─ Change in inventory,,,-54,-1,-325,-62,40,106,9,-189,-4,18,-53,-129
  └─ Manufacturing Cost %,,,16%,15%,19%,5%,4%,4%,5%,5%,5%,0%,19%,18%
  └─ Employee Cost %,,,6%,5%,7%,6%,5%,5%,5%,6%,6%,6%,7%,6%
  └─ Other Cost %,,,3%,4%,5%,4%,3%,3%,3%,3%,3%,8%,3%,3%
Operating Profit,-52,106,169,43,115,52,96,105,77,90,122,105,,
OPM %,-4%,7%,14%,3%,10%,4%,7%,7%,5%,7%,8%,7%,,
Other Income,9,10,356,27,11,17,92,-2,2,28,70,-2,,
  └─ Exceptional items,,,346.95,14.85,1.32,1.00,88.82,-6.55,-0.65,23.01,61.31,-5.52,-0.03,-0.09
  └─ Other income normal,,,8.94,11.91,9.84,16.14,3.09,4.89,2.42,4.61,9.11,3.72,8.97,9.84
Interest,77,77,51,38,24,27,35,26,28,30,30,22,,
Depreciation,61,38,30,24,33,56,48,40,36,35,34,31,,
Profit before tax,-181,1,443,7,69,-13,105,38,15,53,129,50,,
Tax %,0%,0%,19%,-33%,41%,521%,31%,31%,14%,29%,15%,26%,,
Net Profit,-181,1,359,10,40,-83,73,26,13,38,109,37,,
  └─ Minority share,,,-0.12,-0.01,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,,,280.96,5.55,0.81,-3.99,78.40,-4.37,-0.55,16.30,51.91,-4.01,-0.03,-0.09
  └─ Profit excl Excep,,,78.16,4.21,39.54,-78.92,-5.17,30.52,13.68,21.35,57.51,41.10,-181.36,0.89
  └─ Profit for PE,,,78.13,4.21,39.54,-78.91,-5.13,30.52,13.68,21.35,57.51,41.10,-181.36,0.89
  └─ Profit for EPS,,,359.00,9.75,40.35,-82.90,73.27,26.15,13.13,37.65,109.42,37.09,-181.39,0.80
  └─ Profit Growth %,,,8679.09%,-94.62%,840.16%,-299.57%,93.50%,694.93%,-55.18%,56.07%,169.37%,-28.53%,3.79%,100.49%
EPS in Rs,-46.37,0.20,91.78,2.49,10.32,-21.19,18.73,6.69,3.36,9.62,27.97,9.48,,
Dividend Payout %,0%,0%,0%,0%,0%,0%,16%,45%,89%,42%,14%,0%,,
