Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,92.47,108.58,107.64,134.16,123.95,98.28
  └─ Sales Growth %,,17.42%,-0.87%,24.64%,-7.61%,
Expenses,91.47,105.25,105.11,124.19,121.37,101.66
  └─ Material Cost %,47.23%,39.58%,45.25%,47.00%,44.57%,
    └─ Raw material cost,43,43,50,64,60,
    └─ Change in inventory,1,0,-1,-0,-5,
  └─ Manufacturing Cost %,7.36%,15.90%,6.63%,6.72%,6.74%,
  └─ Employee Cost %,30.62%,28.35%,30.52%,25.53%,31.45%,
  └─ Other Cost %,13.71%,13.11%,15.25%,13.31%,15.17%,
Operating Profit,1.00,3.33,2.53,9.97,2.58,-3.38
OPM %,1.08%,3.07%,2.35%,7.43%,2.08%,-3.44%
Other Income,1.58,8.67,2.92,2.41,1.96,1.89
  └─ Exceptional items,1.05,0.16,0.06,0.15,-0.31,
  └─ Other income normal,0.53,8.51,2.86,2.26,2.27,
Interest,0.89,4.02,3.97,3.16,2.81,2.67
Depreciation,3.88,5.07,5.24,5.14,4.88,4.70
Profit before tax,-2.19,2.91,-3.76,4.08,-3.15,-8.86
Tax %,-54.79%,19.93%,-33.24%,13.73%,-41.27%,
Net Profit,-0.99,2.33,-2.51,3.53,-1.85,-7.09
  └─ Exceptional items AT,1,0,0,0,-0,
  └─ Profit excl Excep,-2,2,-3,3,-2,
  └─ Profit for PE,-2,2,-3,3,-2,
  └─ Profit for EPS,-1,2,-3,4,-2,
  └─ Profit Growth %,,208%,-217%,233%,-145%,
EPS in Rs,-4.14,9.75,-10.50,14.77,-7.74,-29.65
Dividend Payout %,0.00%,0.00%,0.00%,6.77%,0.00%,
