Metric,Mar 20066m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,TTM,Mar 2006
Sales,20,76,388,173,38,18,13,12,
  └─ Sales Growth %,,271.97%,414.13%,-55.34%,-78.15%,-53.34%,-27.21%,,
Expenses,17,65,339,173,34,36,34,32,
  └─ Manufacturing Cost %,,2%,1%,1%,1%,2%,2%,,2%
  └─ Employee Cost %,,70%,77%,88%,76%,84%,70%,,69%
  └─ Other Cost %,,15%,9%,10%,12%,115%,193%,,14%
Operating Profit,3,10,50,0,4,-18,-21,-20,
OPM %,14%,14%,13%,0%,12%,-101%,-165%,-159%,
Other Income,0,2,2,-2,-3,-77,-1,21,
  └─ Exceptional items,,-0.07,-0.01,-5.88,-4.17,-76.88,-1.28,,-0.01
  └─ Other income normal,,1.60,2.27,3.74,0.82,0.04,0.10,,0.03
Interest,0,2,12,17,13,12,14,15,
Depreciation,1,2,6,6,8,2,2,2,
Profit before tax,2,8,34,-25,-20,-109,-39,-16,
Tax %,15%,8%,6%,9%,0%,0%,2%,,
Net Profit,1,7,32,-27,-20,-109,-39,-16,
  └─ Exceptional items AT,,-0.06,-0.01,-5.40,-4.17,-76.88,-1.28,,-0.01
  └─ Profit excl Excep,,7.06,31.87,-21.22,-15.68,-32.17,-38.10,,1.39
  └─ Profit for PE,,7.06,31.87,-21.22,-15.68,-32.17,-38.10,,1.39
  └─ Profit for EPS,,7.00,31.86,-26.62,-19.85,-109.05,-39.38,,1.38
  └─ Profit Growth %,,407.91%,351.42%,-166.58%,26.11%,-105.17%,-18.43%,,
EPS in Rs,0.51,2.61,11.88,-9.93,-7.40,-40.67,-14.69,-5.86,
Dividend Payout %,0%,23%,3%,0%,0%,0%,0%,,
