Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,503,629,727,792,725,749
  └─ Sales Growth %,,25.16%,15.48%,8.99%,-8.45%,3.30%
Expenses,397,512,626,646,668,679
  └─ Material Cost %,15.90%,14.21%,13.65%,15.64%,20.13%,23.23%
    └─ Raw material cost,94,99,104,126,116,180
    └─ Change in inventory,-15,-10,-5,-2,30,-6
  └─ Manufacturing Cost %,36.00%,41.94%,46.56%,39.04%,41.78%,30.06%
  └─ Employee Cost %,7.37%,6.06%,5.42%,5.21%,5.84%,5.72%
  └─ Other Cost %,19.74%,19.18%,20.47%,21.72%,24.36%,31.57%
Operating Profit,106,117,101,146,57,71
OPM %,21%,19%,14%,18%,8%,9%
Other Income,6,4,7,9,10,4
  └─ Exceptional items,-0.55,-0.14,0.05,0.01,-0.01,0.00
  └─ Other income normal,6.32,3.99,6.99,9.30,9.84,4.06
Interest,2,1,1,2,3,10
Depreciation,27,31,35,35,30,31
Profit before tax,83,88,71,118,35,34
Tax %,35%,37%,19%,26%,27%,26%
Net Profit,54,55,58,88,25,25
  └─ Exceptional items AT,-0.34,-0.09,0.04,0.01,-0.01,0.00
  └─ Profit excl Excep,54.30,55.37,58.04,87.77,25.20,24.97
  └─ Profit for PE,54.30,55.37,58.04,87.77,25.20,24.97
  └─ Profit for EPS,53.96,55.28,58.08,87.78,25.19,24.97
  └─ Profit Growth %,,1.97%,4.82%,51.22%,-71.29%,-0.91%
EPS in Rs,3.79,3.84,4.00,5.95,1.70,1.69
Dividend Payout %,66%,91%,100%,50%,88%,59%
