Metric,Mar 2023,Mar 2024,Mar 2025
Sales,1979,2205,2371
  └─ Sales Growth %,,11.42%,7.50%
Expenses,415,496,484
  └─ Manufacturing Cost %,0.00%,9.75%,8.59%
  └─ Employee Cost %,3.07%,3.25%,0.00%
  └─ Other Cost %,17.92%,9.47%,11.84%
Operating Profit,1564,1710,1887
OPM %,79%,78%,80%
Other Income,23,30,20
  └─ Exceptional items,0.00,4.97,0.15
  └─ Other income normal,23.21,25.53,19.98
Interest,284,353,394
Depreciation,160,162,169
Profit before tax,1143,1226,1344
Tax %,34%,34%,33%
Net Profit,759,809,897
  └─ Minority share,0,0,-1
  └─ Exceptional items AT,0,7,0
  └─ Profit excl Excep,759,803,897
  └─ Profit for PE,759,803,896
  └─ Profit for EPS,759,809,897
  └─ Profit Growth %,,6%,12%
EPS in Rs,,,
Dividend Payout %,-0%,-0%,-0%
