Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,131,209,197,308,314,260,208,227,238,161
  └─ Sales Growth %,,59.69%,-5.63%,56.14%,2.11%,-17.26%,-20.16%,9.29%,4.95%,
Expenses,104,173,159,256,267,217,195,190,246,207
  └─ Material Cost %,15.58%,41.09%,21.09%,34.46%,31.73%,15.12%,21.95%,20.28%,21.12%,
    └─ Raw material cost,20,86,47,108,107,42,43,48,61,
    └─ Change in inventory,0,0,-6,-2,-7,-3,2,-2,-11,
  └─ Manufacturing Cost %,36.02%,15.45%,22.87%,30.72%,33.50%,45.51%,44.29%,37.80%,41.40%,
  └─ Employee Cost %,22.21%,14.54%,18.38%,12.87%,13.91%,16.18%,18.20%,16.49%,17.72%,
  └─ Other Cost %,5.93%,11.77%,18.43%,5.21%,6.02%,6.60%,9.68%,9.07%,23.32%,
Operating Profit,26,36,38,52,47,43,12,37,-8,-47
OPM %,20%,17%,19%,17%,15%,17%,6%,16%,-4%,-29%
Other Income,3,6,6,8,6,12,43,4,1,8
  └─ Exceptional items,0.26,3.32,1.84,2.21,-0.14,0.33,-0.01,-0.51,-5.70,
  └─ Other income normal,2.48,3.02,4.58,5.96,6.23,11.94,43.44,4.25,6.35,
Interest,6,8,14,12,11,9,9,7,12,4
Depreciation,8,6,14,17,16,16,17,17,44,27
Profit before tax,16,27,17,31,26,30,30,17,-63,-70
Tax %,35%,47%,53%,24%,27%,26%,-5%,28%,-12%,
Net Profit,10,14,8,24,19,22,31,12,-56,-66
  └─ Exceptional items AT,0,2,1,2,-0,0,-0,-0,-5,
  └─ Profit excl Excep,10,13,7,22,19,22,31,12,-51,
  └─ Profit for PE,10,13,7,22,19,22,31,12,-51,
  └─ Profit for EPS,10,14,8,24,19,22,31,12,-56,
  └─ Profit Growth %,,27%,-45%,217%,-12%,15%,41%,-61%,-514%,
EPS in Rs,1.21,1.74,0.94,2.84,2.32,2.71,3.79,1.32,-6.21,-7.30
Dividend Payout %,16%,14%,26%,11%,13%,11%,0%,0%,0%,
