Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1994,1658,1499,2078,2344,2292,2290,2551
  └─ Sales Growth %,,-16.87%,-9.57%,38.64%,12.79%,-2.22%,-0.09%,11.39%
Expenses,1820,1517,1363,1928,2171,2126,2125,2268
  └─ Material Cost %,77%,76%,76%,79%,79%,78%,78%,74%
    └─ Raw material cost,1542,1252,1147,1648,1850,1787,1782,1897
    └─ Change in inventory,-8,16,-14,-2,4,-3,-2,-8
  └─ Manufacturing Cost %,5%,5%,5%,5%,5%,5%,5%,0%
  └─ Employee Cost %,8%,9%,9%,8%,8%,9%,9%,8%
  └─ Other Cost %,1%,1%,1%,1%,1%,1%,1%,6%
Operating Profit,174,141,136,150,173,167,165,283
OPM %,9%,9%,9%,7%,7%,7%,7%,11%
Other Income,3,2,5,1,2,5,4,5
  └─ Exceptional items,-0.03,0.43,-0.15,-0.32,0.46,0.38,1.63,0.00
  └─ Other income normal,2.97,1.53,4.80,1.33,1.64,4.55,2.77,5.33
Interest,34,38,33,33,37,40,36,44
Depreciation,61,63,66,75,80,84,84,95
Profit before tax,82,42,42,43,58,48,49,150
Tax %,36%,33%,37%,35%,35%,32%,33%,7%
Net Profit,52,28,26,28,38,32,33,140
  └─ Exceptional items AT,-0,0,-0,-0,0,0,1,0
  └─ Profit excl Excep,52,28,26,28,38,32,32,140
  └─ Profit for PE,52,28,26,28,38,32,32,140
  └─ Profit for EPS,52,28,26,28,38,32,33,140
  └─ Profit Growth %,,-46%,-6%,8%,33%,-15%,-1%,339%
EPS in Rs,4.81,2.61,2.42,2.60,3.50,2.98,3.04,12.90
Dividend Payout %,10%,10%,10%,19%,20%,24%,23%,5%
