Metric,Mar 2024,Mar 2025,Mar 2026
Sales,508,543,543
  └─ Sales Growth %,,7.02%,-0.09%
Expenses,451,479,484
  └─ Material Cost %,60%,60%,60%
    └─ Raw material cost,317,327,339
    └─ Change in inventory,-13,1,-11
  └─ Manufacturing Cost %,3%,3%,0%
  └─ Employee Cost %,15%,15%,16%
  └─ Other Cost %,11%,10%,13%
Operating Profit,56,64,59
OPM %,11%,12%,11%
Other Income,7,5,8
  └─ Exceptional items,0.39,0.26,0.00
  └─ Other income normal,6.87,4.44,8.30
Interest,3,3,3
Depreciation,15,15,15
Profit before tax,46,51,50
Tax %,25%,26%,26%
Net Profit,34,38,33
  └─ Profit from Associates,0.00,-0.25,-3.76
  └─ Minority share,-0.18,0.31,-0.17
  └─ Exceptional items AT,0.29,0.19,0.00
  └─ Profit excl Excep,34.10,37.54,32.91
  └─ Profit for PE,33.92,37.85,32.74
  └─ Profit for EPS,34.21,38.04,32.74
  └─ Profit Growth %,,11.58%,-13.50%
EPS in Rs,5.76,6.39,5.50
Dividend Payout %,22%,23%,27%
