Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,7.28,11.23,13.39,22.27,12.94,8.48,5.99,13.09,8.94,3.90,2.74
  └─ Sales Growth %,,54%,19%,66%,-42%,-34%,-29%,119%,-32%,-56%,
Expenses,8.35,10.44,12.45,21.26,11.41,9.55,7.88,14.19,9.85,4.29,3.30
  └─ Material Cost %,71%,58%,55%,69%,49%,63%,70%,76%,77%,64%,
    └─ Raw material cost,5.66,7.75,6.66,15.20,11.11,0.97,3.54,9.98,6.84,2.49,
    └─ Change in inventory,-0.46,-1.28,0.73,0.19,-4.73,4.41,0.68,0.00,0.00,0.00,
  └─ Manufacturing Cost %,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,
  └─ Employee Cost %,21%,21%,24%,16%,25%,29%,36%,17%,19%,34%,
  └─ Other Cost %,20%,12%,12%,8%,13%,19%,24%,14%,14%,12%,
Operating Profit,-1.07,0.79,0.94,1.01,1.53,-1.07,-1.89,-1.10,-0.91,-0.39,-0.56
OPM %,-14.70%,7.03%,7.02%,4.54%,11.82%,-12.62%,-31.55%,-8.40%,-10.18%,-10.00%,-20.44%
Other Income,2.13,0.18,0.59,0.87,0.80,0.28,3.51,0.47,0.16,-0.24,0.26
  └─ Exceptional items,0.01,0.00,0.00,0.00,0.00,-0.26,-0.45,0.00,0.00,-0.24,
  └─ Other income normal,2.12,0.18,0.59,0.87,0.80,0.54,3.96,0.47,0.16,0.00,
Interest,0.47,0.46,0.80,1.13,1.80,1.42,1.04,2.30,2.38,1.24,0.46
Depreciation,0.11,0.20,0.21,0.22,0.21,0.20,0.07,0.03,0.03,0.03,0.02
Profit before tax,0.48,0.31,0.52,0.53,0.32,-2.41,0.51,-2.96,-3.16,-1.90,-0.78
Tax %,22.92%,48.39%,42.31%,33.96%,34.38%,-2.49%,88.24%,-2.03%,0.00%,0.00%,
Net Profit,0.37,0.16,0.30,0.35,0.21,-2.35,0.06,-2.89,-3.16,-1.90,-0.78
  └─ Exceptional items AT,0.01,0.00,0.00,0.00,0.00,-0.26,0.05,0.00,0.00,-0.24,
  └─ Profit excl Excep,0.36,0.16,0.30,0.35,0.21,-2.09,0.01,-2.89,-3.16,-1.66,
  └─ Profit for PE,0.36,0.16,0.30,0.35,0.21,-2.09,0.01,-2.89,-3.16,-1.66,
  └─ Profit for EPS,0.37,0.16,0.30,0.35,0.21,-2.35,0.06,-2.89,-3.16,-1.90,
  └─ Profit Growth %,,-55.56%,87.50%,16.67%,-40.00%,-1095.24%,100.48%,-29000.00%,-9.34%,47.47%,
EPS in Rs,3.70,1.60,3.00,3.50,2.10,-23.50,0.60,-28.90,-31.60,-19.00,-4.98
Dividend Payout %,0.00%,0.00%,16.67%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
