Metric,Mar 2017,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,553,411,335,323,341
  └─ Sales Growth %,,,-18.40%,-3.75%,5.52%
Expenses,483,403,326,288,306
  └─ Material Cost %,63.33%,70.42%,61.51%,51.07%,47.06%
    └─ Raw material cost,347,278,207,164,151
    └─ Change in inventory,2,11,-1,1,10
  └─ Manufacturing Cost %,12.75%,0.00%,16.52%,16.44%,0.00%
  └─ Employee Cost %,7.90%,10.34%,14.39%,17.20%,18.18%
  └─ Other Cost %,3.51%,17.39%,4.83%,4.59%,24.75%
Operating Profit,69,8,9,35,34
OPM %,12%,2%,3%,11%,10%
Other Income,2,16,3,1,6
  └─ Exceptional items,1.55,0.00,-1.36,-0.22,0.00
  └─ Other income normal,0.95,16.13,4.59,1.65,5.67
Interest,27,13,11,12,12
Depreciation,18,14,15,14,14
Profit before tax,27,-3,-14,10,13
Tax %,44%,90%,-22%,-24%,24%
Net Profit,15,-7,-11,12,10
  └─ Exceptional items AT,0.87,0.00,-1.36,-0.22,0.00
  └─ Profit excl Excep,14.19,-6.53,-9.41,12.28,10.21
  └─ Profit for PE,14.19,-6.53,-9.41,12.28,10.21
  └─ Profit for EPS,15.06,-6.53,-10.77,12.06,10.21
  └─ Profit Growth %,,,-44.10%,230.50%,-16.86%
EPS in Rs,6.97,-5.04,-8.31,9.30,7.88
Dividend Payout %,0%,0%,0%,6%,0%
