Metric,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1318,1434,2660,3535,4077,5241,6328,8430
  └─ Sales Growth %,,8.77%,,32.86%,15.36%,28.55%,20.73%,33.22%
Expenses,1248,1354,2479,3248,3749,4853,5947,7461
  └─ Material Cost %,90%,88%,86%,84%,84%,85%,87%,80%
    └─ Raw material cost,1217,1342,2132,3398,3818,4906,6160,8662
    └─ Change in inventory,-28,-79,154,-417,-396,-466,-684,-1900
  └─ Manufacturing Cost %,2%,2%,1%,3%,2%,2%,2%,0%
  └─ Employee Cost %,1%,1%,2%,2%,2%,2%,2%,2%
  └─ Other Cost %,2%,3%,5%,3%,3%,4%,3%,6%
Operating Profit,70,80,182,287,329,389,381,969
OPM %,5%,6%,7%,8%,8%,7%,6%,11%
Other Income,3,6,15,13,31,42,55,80
  └─ Exceptional items,0,0,0,0,0,0,0,0
  └─ Other income normal,3,6,14,13,31,42,54,80
Interest,19,26,73,80,98,121,149,204
Depreciation,3,7,40,42,46,60,68,82
Profit before tax,51,53,84,177,216,250,218,763
Tax %,29%,33%,27%,27%,27%,27%,27%,25%
Net Profit,36,36,61,129,158,181,159,574
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,36,36,61,129,158,181,159,574
  └─ Profit for PE,36,36,61,129,158,181,159,574
  └─ Profit for EPS,36,36,61,129,158,181,159,574
  └─ Profit Growth %,,-2%,,111%,23%,14%,-12%,261%
EPS in Rs,10.25,10.07,5.78,12.13,14.19,11.65,9.73,35.06
Dividend Payout %,12%,0%,0%,4%,5%,9%,10%,0%
