Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,64,106,194,245
  └─ Sales Growth %,,66.83%,82.99%,25.97%
Expenses,55,90,163,193
  └─ Material Cost %,52%,53%,50%,51%
    └─ Raw material cost,44,55,118,89
    └─ Change in inventory,-11,2,-20,37
  └─ Manufacturing Cost %,0%,11%,15%,0%
  └─ Employee Cost %,14%,12%,9%,8%
  └─ Other Cost %,20%,9%,10%,19%
Operating Profit,9,16,31,52
OPM %,14%,15%,16%,21%
Other Income,1,1,3,3
  └─ Exceptional items,0.00,0.05,0.02,0.00
  └─ Other income normal,0.95,1.20,2.86,3.27
Interest,1,2,2,0
Depreciation,2,2,3,4
Profit before tax,7,13,30,51
Tax %,21%,26%,26%,25%
Net Profit,5,10,22,41
  └─ Profit from Associates,0,0,0,3
  └─ Exceptional items AT,0,0,0,0
  └─ Profit excl Excep,5,10,22,41
  └─ Profit for PE,5,10,22,41
  └─ Profit for EPS,5,10,22,41
  └─ Profit Growth %,,84%,127%,87%
EPS in Rs,4.63,7.16,15.76,27.67
Dividend Payout %,0%,0%,3%,5%
