Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1591,1637,1874,1790,1359,2438,2712,2628,2857,3235
  └─ Sales Growth %,,2.88%,14.43%,-4.45%,-24.08%,79.38%,11.26%,-3.11%,8.71%,13.22%
Expenses,1418,1513,1714,1629,1237,2130,2411,2413,2612,2914
  └─ Material Cost %,57%,58%,58%,56%,55%,55%,57%,55%,56%,56%
    └─ Raw material cost,953,976,1081,1022,717,1380,1628,1465,1598,1762
    └─ Change in inventory,-43,-33,13,-12,28,-36,-95,-23,10,61
  └─ Manufacturing Cost %,17%,20%,19%,19%,18%,15%,18%,21%,20%,19%
  └─ Employee Cost %,10%,11%,10%,11%,11%,9%,9%,10%,10%,9%
  └─ Other Cost %,4%,4%,4%,5%,7%,8%,6%,5%,6%,6%
Operating Profit,174,125,159,162,122,307,302,215,245,321
OPM %,11%,8%,8%,9%,9%,13%,11%,8%,9%,10%
Other Income,23,25,9,8,10,-5,-9,6,9,1
  └─ Exceptional items,0.08,1.91,1.88,0.32,1.40,-11.08,-18.53,-3.27,-3.72,-6.35
  └─ Other income normal,23.26,23.31,7.12,8.15,8.41,5.93,9.92,9.42,12.45,7.77
Interest,64,63,67,69,49,48,54,71,95,114
Depreciation,73,77,81,81,81,70,79,97,114,95
Profit before tax,61,10,21,20,2,184,160,53,44,113
Tax %,13%,-186%,37%,34%,-113%,24%,18%,24%,28%,27%
Net Profit,53,29,13,13,4,140,131,41,32,83
  └─ Exceptional items AT,0,1,1,0,-4,-8,-14,-2,-3,-5
  └─ Profit excl Excep,53,28,12,13,8,148,145,43,35,87
  └─ Profit for PE,53,28,12,13,8,148,145,43,35,87
  └─ Profit for EPS,53,29,13,13,4,140,131,41,32,83
  └─ Profit Growth %,,-47%,-57%,9%,-40%,1764%,-2%,-70%,-20%,153%
EPS in Rs,13.43,7.26,3.36,3.37,0.97,32.23,28.98,9.06,7.06,18.34
Dividend Payout %,15%,14%,30%,30%,103%,6%,7%,25%,32%,12%
