Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,66,92,104,149,130,105,129,159,187,185,197
  └─ Sales Growth %,,39.51%,13.33%,42.56%,-12.65%,-19.24%,23.29%,23.02%,17.42%,-0.93%,6.64%
Expenses,62,83,88,118,99,82,89,116,140,126,138
  └─ Material Cost %,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%
    └─ Raw material cost,0.11,1.88,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,7%,8%,8%,9%,3%,2%,2%,3%,2%,1%,0%
  └─ Employee Cost %,59%,57%,58%,54%,58%,62%,55%,57%,61%,57%,58%
  └─ Other Cost %,27%,23%,18%,16%,14%,15%,12%,13%,12%,10%,12%
Operating Profit,4,9,16,31,31,23,40,43,47,59,59
OPM %,6%,9%,15%,21%,24%,21%,31%,27%,25%,32%,30%
Other Income,1,0,8,7,2,19,12,8,11,14,19
  └─ Exceptional items,0.00,-0.43,0.02,0.52,-4.64,0.30,0.50,0.86,4.90,5.75,0.38
  └─ Other income normal,0.80,0.71,7.98,6.94,6.49,18.62,11.48,7.06,6.54,8.42,19.03
Interest,2,1,1,2,2,1,2,2,2,1,0
Depreciation,2,1,2,1,6,2,4,5,6,6,4
Profit before tax,1,6,21,35,26,38,47,44,50,67,74
Tax %,88%,19%,12%,38%,25%,17%,32%,29%,26%,27%,24%
Net Profit,0,5,18,22,19,32,32,31,37,49,57
  └─ Minority share,-0,-1,-3,-4,-2,0,0,0,0,0,0
  └─ Exceptional items AT,0,-0,0,0,-4,0,0,1,4,4,0
  └─ Profit excl Excep,0,5,18,21,23,32,32,31,34,45,56
  └─ Profit for PE,-0,4,16,18,20,32,32,31,34,45,56
  └─ Profit for EPS,-0,4,16,18,17,32,32,31,37,49,57
  └─ Profit Growth %,,3752%,288%,14%,15%,55%,0%,-3%,9%,33%,27%
EPS in Rs,-0.35,12.23,50.09,58.21,55.45,102.04,102.40,100.21,119.21,156.56,182.01
Dividend Payout %,0%,0%,0%,17%,0%,20%,24%,22%,0%,16%,19%
