Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,100,119,103,175,200,243,224,283
  └─ Sales Growth %,,18.69%,-13.33%,70.10%,14.27%,21.44%,-7.64%,26.27%
Expenses,93,108,91,148,150,187,195,266
  └─ Material Cost %,41.31%,41.63%,41.24%,42.07%,35.37%,36.56%,40.37%,44.66%
    └─ Raw material cost,41,50,44,72,73,92,92,129
    └─ Change in inventory,0,-1,-2,2,-2,-3,-1,-3
  └─ Manufacturing Cost %,18.49%,15.52%,15.82%,16.92%,16.02%,15.39%,14.89%,0.00%
  └─ Employee Cost %,10.57%,10.73%,9.95%,7.82%,7.28%,8.55%,10.59%,9.88%
  └─ Other Cost %,22.67%,23.39%,21.16%,17.67%,16.07%,16.39%,20.95%,39.25%
Operating Profit,7,10,12,27,51,56,30,18
OPM %,7%,9%,12%,16%,25%,23%,13%,6%
Other Income,0,0,0,1,0,4,4,5
  └─ Exceptional items,0.00,0.00,-0.03,-0.03,-0.54,0.01,-0.34,0.00
  └─ Other income normal,0.29,0.33,0.18,0.56,0.83,4.13,4.35,5.32
Interest,4,4,4,4,4,9,15,15
Depreciation,4,5,5,6,6,10,14,17
Profit before tax,-1,1,3,18,41,41,5,-9
Tax %,53%,-69%,8%,11%,26%,25%,30%,-4%
Net Profit,-1,2,2,16,30,31,3,-8
  └─ Minority share,0,0,0,0,0,0,6,7
  └─ Exceptional items AT,0,0,-0,-0,-0,0,0,0
  └─ Profit excl Excep,-1,2,2,16,31,31,3,-8
  └─ Profit for PE,-1,2,2,16,31,31,10,-2
  └─ Profit for EPS,-1,2,2,16,30,31,10,-2
  └─ Profit Growth %,,276%,2%,544%,91%,1%,-69%,-118%
EPS in Rs,-0.10,0.17,0.17,1.14,2.14,2.18,0.68,-0.12
Dividend Payout %,0%,14%,14%,13%,9%,9%,0%,0%
