Metric,Mar 2015,Mar 2016,TTM
Sales,200,188,199
  └─ Sales Growth %,,-6.06%,
Expenses,172,155,157
  └─ Material Cost %,62%,58%,
    └─ Raw material cost,121,109,
    └─ Change in inventory,3,-1,
  └─ Manufacturing Cost %,12%,12%,
  └─ Employee Cost %,3%,4%,
  └─ Other Cost %,8%,9%,
Operating Profit,27,32,42
OPM %,14%,17%,21%
Other Income,3,1,1
  └─ Exceptional items,3.02,0.85,
  └─ Other income normal,0.31,0.42,
Interest,3,3,3
Depreciation,4,4,4
Profit before tax,24,26,35
Tax %,32%,36%,
Net Profit,16,17,23
  └─ Exceptional items AT,2.05,0.54,
  └─ Profit excl Excep,13.95,16.10,
  └─ Profit for PE,13.95,16.10,
  └─ Profit for EPS,16.00,16.64,
  └─ Profit Growth %,,15.41%,
EPS in Rs,21.88,22.75,31.23
Dividend Payout %,16%,15%,
