Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,265,313,642,837,633,699,394
  └─ Sales Growth %,,17.85%,105.21%,30.50%,-24.34%,10.38%,-43.64%
Expenses,243,288,591,747,545,684,393
  └─ Material Cost %,-0%,-0%,-1%,0%,0%,0%,91%
    └─ Raw material cost,0,0,0,0,0,0,362
    └─ Change in inventory,-1,-0,-3,2,0,0,-5
  └─ Manufacturing Cost %,86%,89%,90%,86%,82%,93%,0%
  └─ Employee Cost %,4%,3%,2%,2%,3%,3%,6%
  └─ Other Cost %,2%,1%,1%,1%,1%,2%,3%
Operating Profit,22,25,50,90,88,16,1
OPM %,8%,8%,8%,11%,14%,2%,0%
Other Income,1,1,2,8,13,15,37
  └─ Exceptional items,0.10,0.11,0.39,2.05,0.22,4.74,0.00
  └─ Other income normal,0.70,1.32,1.41,6.33,13.21,10.71,36.58
Interest,3,3,3,13,12,6,6
Depreciation,9,10,10,17,20,24,25
Profit before tax,11,13,40,69,70,1,6
Tax %,26%,26%,27%,22%,16%,125%,12%
Net Profit,8,10,29,54,58,-0,6
  └─ Exceptional items AT,0,0,0,2,0,3,0
  └─ Profit excl Excep,8,10,29,52,58,-3,6
  └─ Profit for PE,8,10,29,52,58,-3,6
  └─ Profit for EPS,8,10,29,54,58,-0,6
  └─ Profit Growth %,,21%,198%,82%,12%,-106%,267%
EPS in Rs,0.44,0.54,1.60,2.91,2.55,-0.01,0.16
Dividend Payout %,0%,5%,0%,0%,0%,0%,0%
