Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,58,62,67,83,92,105,114,112,115,92,89,120,147
  └─ Sales Growth %,8.07%,6.25%,7.62%,24.20%,10.77%,14.41%,8.93%,-1.94%,2.69%,-20.62%,-2.91%,34.59%,
Expenses,48,52,52,62,70,81,87,85,92,79,74,94,116
  └─ Material Cost %,41.07%,40.26%,41.08%,41.94%,42.75%,43.90%,44.01%,41.61%,43.77%,45.20%,44.92%,44.11%,
    └─ Raw material cost,23,25,28,34,38,48,50,48,52,41,36,52,
    └─ Change in inventory,1,0,-1,0,1,-1,0,-1,-1,0,4,1,
  └─ Manufacturing Cost %,17.88%,17.13%,16.01%,13.24%,13.92%,13.85%,13.51%,14.63%,15.21%,16.84%,15.07%,15.35%,
  └─ Employee Cost %,11.66%,11.65%,11.70%,10.42%,10.60%,11.17%,10.98%,11.91%,12.59%,15.93%,16.09%,13.49%,
  └─ Other Cost %,11.70%,14.01%,9.68%,8.79%,9.34%,8.30%,7.80%,7.66%,8.08%,8.39%,6.65%,5.80%,
Operating Profit,10,11,14,21,21,24,27,27,23,12,15,25,31
OPM %,18%,17%,22%,26%,23%,23%,24%,24%,20%,14%,17%,21%,21%
Other Income,1,2,1,1,3,2,7,7,6,7,8,4,3
  └─ Exceptional items,-0.14,-0.26,-0.56,-0.13,2.04,0.23,3.66,0.03,-0.15,0.69,5.13,2.55,
  └─ Other income normal,1.10,1.92,1.39,1.17,0.93,1.91,3.05,7.11,6.33,6.40,2.70,1.85,
Interest,1,0,1,1,0,1,1,1,1,1,0,0,0
Depreciation,3,2,2,2,3,3,3,4,4,4,4,4,4
Profit before tax,8,10,13,19,21,22,30,30,25,14,19,25,31
Tax %,7%,19%,12%,9%,24%,26%,22%,18%,19%,17%,28%,18%,
Net Profit,8,8,11,18,16,17,23,24,20,12,13,21,27
  └─ Minority share,-3,-3,-4,-6,-6,-6,0,0,0,0,0,0,
  └─ Exceptional items AT,-0,-0,-0,-0,2,0,3,0,-0,1,4,2,
  └─ Profit excl Excep,8,8,11,18,15,17,20,24,20,11,9,19,
  └─ Profit for PE,5,5,7,12,9,11,20,24,20,11,9,19,
  └─ Profit for EPS,5,5,7,12,10,11,23,24,20,12,13,21,
  └─ Profit Growth %,19%,17%,27%,69%,-18%,11%,90%,20%,-17%,-43%,-16%,99%,
EPS in Rs,5.66,6.54,8.20,14.32,13.02,13.20,28.38,18.27,15.14,9.02,12.22,19.12,24.99
Dividend Payout %,2%,2%,6%,1%,9%,5%,0%,16%,20%,33%,25%,16%,
