Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,138,158,193,175,217,293,297,238,276,305
  └─ Sales Growth %,,14.49%,22.30%,-8.91%,23.50%,35.09%,1.61%,-19.84%,15.65%,10.56%
Expenses,122,136,167,151,189,264,263,217,248,272
  └─ Material Cost %,68%,68%,69%,67%,70%,75%,74%,73%,73%,72%
    └─ Raw material cost,93,108,134,118,151,220,220,174,203,221
    └─ Change in inventory,-0,-0,-0,-0,0,-0,1,-0,-0,0
  └─ Manufacturing Cost %,4%,3%,4%,5%,4%,3%,4%,5%,4%,0%
  └─ Employee Cost %,6%,6%,6%,6%,6%,5%,5%,7%,6%,6%
  └─ Other Cost %,10%,8%,7%,8%,7%,6%,5%,7%,6%,10%
Operating Profit,16,22,26,24,28,29,34,21,28,33
OPM %,11%,14%,13%,14%,13%,10%,12%,9%,10%,11%
Other Income,6,3,1,4,6,7,2,8,5,3
  └─ Exceptional items,-0.30,0.01,0.00,0.06,4.82,0.01,-0.11,0.03,0.00,-0.20
  └─ Other income normal,6.23,3.15,0.78,3.76,1.20,6.80,2.07,8.41,4.64,2.94
Interest,3,2,2,2,2,1,1,2,2,2
Depreciation,4,4,5,6,6,6,6,6,7,7
Profit before tax,15,19,20,20,26,29,29,22,24,27
Tax %,29%,61%,26%,23%,30%,28%,28%,26%,28%,33%
Net Profit,11,7,15,15,18,21,21,16,17,19
  └─ Minority share,0.00,0.00,-1.58,0.00,-1.96,-1.66,-2.60,-0.44,-1.91,-3.90
  └─ Exceptional items AT,-0.21,0.00,0.00,0.04,3.37,0.01,-0.08,0.02,0.00,-0.14
  └─ Profit excl Excep,10.91,7.40,14.56,15.29,14.57,20.79,20.74,16.30,17.34,18.67
  └─ Profit for PE,10.91,7.40,12.98,15.29,12.98,19.13,18.13,15.86,15.43,14.74
  └─ Profit for EPS,10.70,7.40,12.98,15.33,15.98,19.14,18.06,15.88,15.43,14.63
  └─ Profit Growth %,,-32.17%,75.41%,17.80%,-15.12%,47.41%,-5.23%,-12.52%,-2.71%,-4.47%
EPS in Rs,9.30,4.70,8.24,9.73,10.15,12.15,11.47,10.08,9.80,9.29
Dividend Payout %,0%,0%,18%,23%,20%,8%,9%,10%,10%,11%
