Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,115,151,173,184,185,216,222,262,463,489
  └─ Sales Growth %,,31.61%,14.61%,6.06%,0.50%,,2.59%,18.28%,76.56%,5.72%
Expenses,104,135,155,167,168,196,202,232,408,412
  └─ Material Cost %,67%,67%,67%,72%,69%,65%,64%,60%,66%,58%
    └─ Raw material cost,78,103,117,135,123,137,142,159,318,288
    └─ Change in inventory,-0,-1,-1,-4,5,3,-0,-2,-11,-4
  └─ Manufacturing Cost %,2%,2%,2%,2%,2%,3%,4%,3%,2%,0%
  └─ Employee Cost %,9%,8%,8%,7%,8%,10%,12%,13%,11%,14%
  └─ Other Cost %,12%,12%,12%,10%,12%,12%,12%,12%,9%,12%
Operating Profit,11,16,18,17,17,20,20,30,54,77
OPM %,9%,11%,11%,9%,9%,9%,9%,11%,12%,16%
Other Income,1,1,1,3,3,12,15,14,17,31
  └─ Exceptional items,0.00,0.00,-0.86,-0.07,-0.01,0.04,0.18,0.74,0.42,0.04
  └─ Other income normal,1.15,1.12,1.98,2.64,2.79,11.98,14.43,12.77,17.02,31.34
Interest,1,0,0,0,0,2,3,5,1,1
Depreciation,3,3,3,3,3,4,5,5,5,7
Profit before tax,8,14,16,16,16,26,27,34,66,101
Tax %,33%,33%,38%,36%,34%,24%,24%,25%,25%,24%
Net Profit,6,9,10,10,11,20,20,25,49,76
  └─ Exceptional items AT,0,0,-1,-0,-0,0,0,1,0,0
  └─ Profit excl Excep,6,9,10,10,11,20,20,25,49,76
  └─ Profit for PE,6,9,10,10,11,20,20,25,49,76
  └─ Profit for EPS,6,9,10,10,11,20,20,25,49,76
  └─ Profit Growth %,,65%,11%,1%,1%,,1%,24%,98%,56%
EPS in Rs,0.07,0.12,0.13,0.13,0.13,0.23,0.21,0.27,0.53,0.81
Dividend Payout %,24%,17%,16%,15%,15%,13%,0%,0%,0%,0%
