Metric,TTM
Sales,11.20
Expenses,10.67
Operating Profit,0.53
OPM %,4.73%
Other Income,-0.01
Interest,0.27
Depreciation,0.12
Profit before tax,0.13
Tax %,
Net Profit,0.09
EPS in Rs,0.21
Dividend Payout %,
