Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,84.59,99.79,249.71,251.19,383.11,503.24,218.63,61.65,40.23,3.03,3.68,3.05
  └─ Sales Growth %,,17.97%,150.24%,0.59%,52.52%,31.36%,-56.56%,-71.80%,-34.74%,-92.47%,21.45%,
Expenses,85.55,99.74,246.62,249.27,381.42,501.28,218.06,61.81,42.42,5.15,5.05,4.73
  └─ Material Cost %,98%,99%,98%,99%,99%,99%,100%,99%,98%,59%,77%,
    └─ Raw material cost,83.64,98.75,243.98,248.17,380.68,523.83,213.77,55.75,21.58,4.34,2.09,
    └─ Change in inventory,-0.38,0.00,0.00,0.12,0.03,-23.36,3.80,5.09,18.02,-2.54,0.75,
  └─ Manufacturing Cost %,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%,0%,1%,4%,71%,44%,
  └─ Other Cost %,2%,1%,1%,0%,0%,0%,0%,1%,3%,38%,15%,
Operating Profit,-0.96,0.05,3.09,1.92,1.69,1.96,0.57,-0.16,-2.19,-2.12,-1.37,-1.68
OPM %,-1.13%,0.05%,1.24%,0.76%,0.44%,0.39%,0.26%,-0.26%,-5.44%,-69.97%,-37.23%,-55.08%
Other Income,3.00,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,-1.37
  └─ Exceptional items,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other income normal,1.61,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,
Interest,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.03,0.02,0.00,0.00,0.00
Depreciation,0.21,0.26,0.53,0.85,0.63,0.44,0.29,0.32,0.26,0.23,0.17,0.16
Profit before tax,1.83,3.55,2.56,1.06,1.06,1.51,0.27,-0.51,-2.47,-2.35,-1.09,-3.21
Tax %,16.94%,19.44%,26.56%,32.08%,33.96%,43.05%,51.85%,-7.84%,-1.62%,-1.28%,-2.75%,
Net Profit,1.52,2.86,1.88,0.72,0.71,0.85,0.12,-0.45,-2.43,-2.32,-1.06,-3.24
  └─ Minority share,0,0,-0,-0,-0,0,0,0,0,1,0,
  └─ Exceptional items AT,1,0,0,0,0,0,0,0,0,0,0,
  └─ Profit excl Excep,0,3,2,1,1,1,0,-0,-2,-2,-1,
  └─ Profit for PE,0,3,2,1,1,1,0,-0,-2,-2,-1,
  └─ Profit for EPS,2,3,2,1,1,1,0,-0,-2,-2,-1,
  └─ Profit Growth %,,673%,-35%,-62%,-3%,23%,-86%,-475%,-353%,18%,58%,
EPS in Rs,0.54,0.99,0.65,0.25,0.24,0.29,0.04,-0.16,-0.71,-0.58,-0.24,-1.12
Dividend Payout %,46.12%,25.21%,38.56%,50.77%,52.25%,84.88%,0.00%,0.00%,0.00%,0.00%,0.00%,
